"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARMA (000)",42825,36013,2484,1916,2412
"Agric., ganadería, caza y silvicultura (001)",20794,19879,801,97,17
"Pesca (002)",4,4,,,
"Explotación de minas y canteras (003)",328,73,55,88,112
"Industrias manufactureras (004)",2443,1951,174,107,211
"Suministro de electricidad, gas y agua (005)",49,10,3,29,7
"Construcción (006)",1369,999,149,143,78
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6648,6155,335,110,48
"Venta, mant.y rep. veh.autom y motoc. (008)",802,609,108,50,35
"Comercio al por mayor (009)",298,234,37,14,13
"Comercio al por menor (010)",5548,5312,190,46,
"Hoteles y restaurantes (011)",1455,1286,106,42,21
"Trans., almac. y comunicaciones (012)",2869,2393,176,201,99
"Intermediación financiera (013)",114,20,16,62,16
"Activid.inmobil., empres. y alquileres (014)",1013,597,124,156,136
"Admin.pub. y defensa; p. segur soc.afil (015)",663,,,,663
"Enseñanza (016)",2017,390,372,768,487
"Servicios sociales y de salud (017)",653,158,15,22,458
"Otras activ. serv.comun.soc y personales (018)",829,638,115,56,20
"Hogares privados con servicio doméstico (019)",619,619,,,
"Actividad economica no especificada (021)",958,841,43,35,39
"Hombres (022)",28699,24134,1758,1255,1552
"Agric., ganadería, caza y silvicultura (023)",15874,15176,605,80,13
"Pesca (024)",4,4,,,
"Explotación de minas y canteras (025)",317,70,55,83,109
"Industrias manufactureras (026)",1824,1404,136,88,196
"Suministro de electricidad, gas y agua (027)",42,9,2,25,6
"Construcción (028)",1321,972,145,127,77
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3037,2687,229,78,43
"Venta, mant.y rep. veh.autom y motoc. (030)",731,556,96,45,34
"Comercio al por mayor (031)",158,113,29,7,9
"Comercio al por menor (032)",2148,2018,104,26,
"Hoteles y restaurantes (033)",431,341,51,26,13
"Trans., almac. y comunicaciones (034)",2704,2272,159,180,93
"Intermediación financiera (035)",60,11,7,34,8
"Activid.inmobil., empres. y alquileres (036)",728,402,92,109,125
"Admin.pub. y defensa; p. segur soc.afil (037)",455,,,,455
"Enseñanza (038)",921,143,169,358,251
"Servicios sociales y de salud (039)",198,61,5,5,127
"Otras activ. serv.comun.soc y personales (040)",393,260,78,42,13
"Hogares privados con servicio doméstico (041)",37,37,,,
