"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SECHURA (000)",19445,14292,2477,1057,1619
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,,4,7,23
"Profes., científicos e intelectuales (002)",927,264,222,237,204
"Técnicos de nivel medio y trab. asimilados (003)",591,307,64,45,175
"Jefes y empleados de oficina (004)",574,95,48,44,387
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2989,2734,176,32,47
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5157,4203,784,147,23
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1579,838,163,174,404
"Obreros construc.,conf.,papel, fab., instr. (008)",2367,1849,302,118,98
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4909,3791,688,240,190
"Otra (010)",56,,,,56
"Ocupación no especificada (011)",262,211,26,13,12
"Hombres (012)",14164,10479,2162,769,754
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",29,,4,5,20
"Profes., científicos e intelectuales (014)",457,115,127,112,103
"Técnicos de nivel medio y trab. asimilados (015)",349,195,52,36,66
"Jefes y empleados de oficina (016)",205,22,11,23,149
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",996,835,101,24,36
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5039,4105,772,145,17
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",911,612,131,88,80
"Obreros construc.,conf.,papel, fab., instr. (020)",2303,1800,301,113,89
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3749,2753,646,213,137
"Otra (022)",55,,,,55
"Ocupación no especificada (023)",71,42,17,10,2
"Mujeres (024)",5281,3813,315,288,865
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,,2,3
"Profes., científicos e intelectuales (026)",470,149,95,125,101
"Técnicos de nivel medio y trab. asimilados (027)",242,112,12,9,109
"Jefes y empleados de oficina (028)",369,73,37,21,238
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1993,1899,75,8,11
"Agricult.trabaj.calif.agrop.y pesqueros (030)",118,98,12,2,6
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",668,226,32,86,324
"Obreros construc.,conf.,papel, fab., instr. (032)",64,49,1,5,9
