"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHICLAYO (000)",588705,78880,115588,118715,100925,75695,98902
"Conviviente (001)",124096,1284,21137,42609,31086,16333,11647
"Separado(a) (002)",24167,106,2047,5372,6278,5177,5187
"Casado(a) (003)",179962,190,5631,30079,45330,42267,56465
"Viudo(a) (004)",21149,16,99,359,1077,2386,17212
"Divorciado(a) (005)",2788,,60,281,657,761,1029
"Soltero(a) (006)",236543,77284,86614,40015,16497,8771,7362
"Hombres (008)",279766,39169,55663,55885,46388,35004,47657
"Conviviente (009)",59068,428,7251,19833,15710,8873,6973
"Separado(a) (010)",6104,30,343,1223,1598,1374,1536
"Casado(a) (011)",87013,86,1700,12542,20656,20370,31659
"Viudo(a) (012)",5036,4,28,78,232,426,4268
"Divorciado(a) (013)",1117,,25,94,262,286,450
"Soltero(a) (014)",121428,38621,46316,22115,7930,3675,2771
"Mujeres (016)",308939,39711,59925,62830,54537,40691,51245
"Conviviente (017)",65028,856,13886,22776,15376,7460,4674
"Separado(a) (018)",18063,76,1704,4149,4680,3803,3651
"Casado(a) (019)",92949,104,3931,17537,24674,21897,24806
"Viudo(a) (020)",16113,12,71,281,845,1960,12944
"Divorciado(a) (021)",1671,,35,187,395,475,579
"Soltero(a) (022)",115115,38663,40298,17900,8567,5096,4591
,,,,,,,
"URBANA (024)",551739,73133,108533,111470,94583,71253,92767
"Conviviente (025)",115452,1197,19672,39825,28900,15153,10705
"Separado(a) (026)",22909,101,1921,5082,5948,4943,4914
"Casado(a) (027)",168221,164,5034,27870,42411,39811,52931
"Viudo(a) (028)",19811,15,95,327,1001,2237,16136
"Divorciado(a) (029)",2731,,57,275,649,746,1004
"Soltero(a) (030)",222615,71656,81754,38091,15674,8363,7077
"Hombres (032)",260928,36177,52019,52299,43291,32755,44387
"Conviviente (033)",54800,410,6746,18468,14561,8225,6390
"Separado(a) (034)",5755,30,322,1158,1513,1300,1432
"Casado(a) (035)",81167,78,1509,11551,19280,19115,29634
"Viudo(a) (036)",4598,3,26,70,215,382,3902
"Divorciado(a) (037)",1090,,24,93,259,279,435
"Soltero(a) (038)",113518,35656,43392,20959,7463,3454,2594
"Mujeres (040)",290811,36956,56514,59171,51292,38498,48380
"Conviviente (041)",60652,787,12926,21357,14339,6928,4315
"Separado(a) (042)",17154,71,1599,3924,4435,3643,3482
"Casado(a) (043)",87054,86,3525,16319,23131,20696,23297
"Viudo(a) (044)",15213,12,69,257,786,1855,12234
"Divorciado(a) (045)",1641,,33,182,390,467,569
"Soltero(a) (046)",109097,36000,38362,17132,8211,4909,4483
,,,,,,,
"RURAL (048)",36966,5747,7055,7245,6342,4442,6135
"Conviviente (049)",8644,87,1465,2784,2186,1180,942
"Separado(a) (050)",1258,5,126,290,330,234,273
"Casado(a) (051)",11741,26,597,2209,2919,2456,3534
"Viudo(a) (052)",1338,1,4,32,76,149,1076
"Divorciado(a) (053)",57,,3,6,8,15,25
"Soltero(a) (054)",13928,5628,4860,1924,823,408,285
"Hombres (056)",18838,2992,3644,3586,3097,2249,3270
"Conviviente (057)",4268,18,505,1365,1149,648,583
"Separado(a) (058)",349,,21,65,85,74,104
"Casado(a) (059)",5846,8,191,991,1376,1255,2025
"Viudo(a) (060)",438,1,2,8,17,44,366
"Divorciado(a) (061)",27,,1,1,3,7,15
"Soltero(a) (062)",7910,2965,2924,1156,467,221,177
"Mujeres (064)",18128,2755,3411,3659,3245,2193,2865
"Conviviente (065)",4376,69,960,1419,1037,532,359
"Separado(a) (066)",909,5,105,225,245,160,169
"Casado(a) (067)",5895,18,406,1218,1543,1201,1509
"Viudo(a) (068)",900,,2,24,59,105,710
"Divorciado(a) (069)",30,,2,5,5,8,10
"Soltero(a) (070)",6018,2663,1936,768,356,187,108
