"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",32083,30735,132,5545,5042,4602,7237,5025,2459,693,1348,121834
"De 12 a 14 años (001)",52,31,2,23,6,,,,,,21,35
"De 15 a 19 años (002)",1125,1033,23,883,114,8,5,,,,92,1155
"De 20 a 24 años (003)",3900,3453,24,1870,1089,374,90,6,,,447,5581
"De 25 a 29 años (004)",4148,3821,13,1011,1242,923,579,53,,,327,9076
"De 30 a 34 años (005)",4052,3925,8,544,832,933,1261,317,28,2,127,12783
"De 35 a 39 años (006)",3908,3832,3,331,532,697,1330,712,203,24,76,15859
"De 40 a 44 años (007)",3200,3147,9,180,324,465,971,780,349,69,53,15227
"De 45 a 49 años (008)",2554,2514,5,133,214,320,656,662,395,129,40,13416
"De 50 y más años (009)",9144,8979,45,570,689,882,2345,2495,1484,469,165,48702
"Sin nivel (010)",17227,16743,69,1887,2053,2329,4476,3581,1829,519,484,76865
"De 12 a 14 años (011)",5,3,,2,1,,,,,,2,4
"De 15 a 19 años (012)",310,292,7,233,47,4,1,,,,18,343
"De 20 a 24 años (013)",1156,1063,3,471,377,162,46,4,,,93,1926
"De 25 a 29 años (014)",1550,1467,4,274,400,438,319,32,,,83,3956
"De 30 a 34 años (015)",1772,1720,5,173,296,396,631,200,18,1,52,6172
"De 35 a 39 años (016)",1890,1851,1,134,174,278,706,415,127,16,39,8344
"De 40 a 44 años (017)",1732,1694,6,88,127,200,505,478,240,50,38,8824
"De 45 a 49 años (018)",1541,1517,5,74,105,168,397,417,258,93,24,8426
"De 50 y más años (019)",7271,7136,38,438,526,683,1871,2035,1186,359,135,38870
"Educacion Inicial (020)",79,76,1,15,30,16,13,1,,,3,184
