"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PACASMAYO (000)",31502,1757,31,7514,10806,2304,4904,1176,3010
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",53,,,1,2,4,15,5,26
"Profes., científicos e intelectuales (002)",2448,,,,93,126,846,191,1192
"Técnicos de nivel medio ytrab.asimilados (003)",1225,4,1,24,206,196,538,70,186
"Jefes y empleados de oficina (004)",1118,3,,12,282,110,415,80,216
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",4294,192,1,909,1551,397,738,185,321
"Agricult.trabaj. calif.agrop. y pesquros (006)",2392,189,1,877,760,129,206,65,165
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2501,60,1,415,1002,217,532,88,186
"Obreros. construc., conf., papel, fab., instr (008)",4005,87,1,733,1961,381,474,158,210
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",12247,1165,24,4310,4505,649,919,292,383
"Otra (010)",199,,,,71,13,84,7,24
"Ocupación no especificada (011)",1020,57,2,233,373,82,137,35,101
"Hombres (012)",22765,1011,22,5599,8559,1655,3101,843,1975
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",36,,,1,1,4,10,4,16
"Profes., científicos e intelectuales (014)",1164,,,,37,63,300,113,651
"Técnicos de nivel medio ytrab.asimilados (015)",865,3,1,18,166,149,356,50,122
"Jefes y empleados de oficina (016)",504,1,,7,147,40,165,43,101
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1952,45,1,347,784,199,309,102,165
"Agricult.trabaj. calif.agrop. y pesquros (018)",2207,142,1,823,717,121,190,56,157
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2253,48,1,347,912,195,492,82,176
"Obreros. construc., conf., papel, fab., instr (020)",3937,83,1,725,1936,372,463,151,206
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",8989,667,15,3170,3542,439,651,213,292
"Otra (022)",193,,,,69,13,81,7,23
"Ocupación no especificada (023)",665,22,2,161,248,60,84,22,66
"Mujeres (024)",8737,746,9,1915,2247,649,1803,333,1035
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",17,,,,1,,5,1,10
"Profes., científicos e intelectuales (026)",1284,,,,56,63,546,78,541
"Técnicos de nivel medio ytrab.asimilados (027)",360,1,,6,40,47,182,20,64
"Jefes y empleados de oficina (028)",614,2,,5,135,70,250,37,115
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",2342,147,,562,767,198,429,83,156
"Agricult.trabaj. calif.agrop. y pesquros (030)",185,47,,54,43,8,16,9,8
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",248,12,,68,90,22,40,6,10
"Obreros. construc., conf., papel, fab., instr (032)",68,4,,8,25,9,11,7,4
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",3258,498,9,1140,963,210,268,79,91
"Otra (034)",6,,,,2,,3,,1
"Ocupación no especificada (035)",355,35,,72,125,22,53,13,35
,,,,,,,,,
"URBANA (036)",29336,1519,26,6617,10070,2223,4757,1152,2972
