"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JAUJA (000)",91508,63443,28065
"Casa independiente (001)",88468,61493,26975
"Departamento en edificio (002)",143,143,
"Vivienda en quinta (003)",685,685,
"Vivienda en casa de vecindad (004)",1044,1044,
"Choza o cabaña (005)",1083,,1083
"Vivienda improvisada (006)",20,20,
"Local no dest.para hab. humana (007)",59,54,5
"Otro tipo (008)",6,4,2
