"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"De 30 a 34 años (105)",3808,,,,1,574,2208,1025
"De 35 a 39 años (106)",3245,,,,47,955,1528,715
"De 40 a 44 años (107)",2602,,,,215,1065,717,605
"De 45 a 49 años (108)",2140,,,22,564,941,202,411
"De 50 y más años (109)",9814,382,1156,2339,2535,836,39,2527
,,,,,,,,
"RURAL (120)",4253,28,117,298,618,881,1310,1001
"De 12 a 14 años (121)",2,,,,,,1,1
"De 15 a 19 años (122)",85,,,,,,58,27
"De 20 a 24 años (123)",383,,,,,3,241,139
"De 25 a 29 años (124)",535,,,,,26,349,160
"De 30 a 34 años (125)",491,,,,1,111,259,120
"De 35 a 39 años (126)",540,,,,10,184,233,113
"De 40 a 44 años (127)",456,,,1,50,203,123,79
"De 45 a 49 años (128)",397,,,3,102,190,35,67
"De 50 y más años (129)",1364,28,117,294,455,164,11,295
"PEA (130)",2335,5,47,142,373,549,677,542
"De 15 a 19 años (132)",33,,,,,,24,9
"De 20 a 24 años (133)",195,,,,,2,120,73
"De 25 a 29 años (134)",276,,,,,14,175,87
"De 30 a 34 años (135)",294,,,,1,71,144,78
"De 35 a 39 años (136)",307,,,,8,114,120,65
"De 40 a 44 años (137)",273,,,1,32,121,72,47
"De 45 a 49 años (138)",249,,,1,65,127,18,38
"De 50 y más años (139)",708,5,47,140,267,100,4,145
"Ocupada (140)",2267,5,46,140,370,537,654,515
"De 15 a 19 años (142)",33,,,,,,24,9
"De 20 a 24 años (143)",188,,,,,2,115,71
"De 25 a 29 años (144)",263,,,,,13,168,82
"De 30 a 34 años (145)",285,,,,1,70,139,75
"De 35 a 39 años (146)",296,,,,8,112,115,61
"De 40 a 44 años (147)",266,,,1,31,119,72,43
"De 45 a 49 años (148)",245,,,1,64,124,18,38
"De 50 y más años (149)",691,5,46,138,266,97,3,136
"Desocupada (150)",68,,1,2,3,12,23,27
"De 20 a 24 años (153)",7,,,,,,5,2
"De 25 a 29 años (154)",13,,,,,1,7,5
"De 30 a 34 años (155)",9,,,,,1,5,3
"De 35 a 39 años (156)",11,,,,,2,5,4
"De 40 a 44 años (157)",7,,,,1,2,,4
"De 45 a 49 años (158)",4,,,,1,3,,
"De 50 y más años (159)",17,,1,2,1,3,1,9
"No PEA (160)",1918,23,70,156,245,332,633,459
"De 12 a 14 años (161)",2,,,,,,1,1
"De 15 a 19 años (162)",52,,,,,,34,18
"De 20 a 24 años (163)",188,,,,,1,121,66
"De 25 a 29 años (164)",259,,,,,12,174,73
"De 30 a 34 años (165)",197,,,,,40,115,42
"De 35 a 39 años (166)",233,,,,2,70,113,48
"De 40 a 44 años (167)",183,,,,18,82,51,32
"De 45 a 49 años (168)",148,,,2,37,63,17,29
"De 50 y más años (169)",656,23,70,154,188,64,7,150
