"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MOYOBAMBA (000)",26795,114445,16162,67462,10633,46983
"Casa independiente (001)",24433,106081,14792,63390,9641,42691
"Departamento en edificio (002)",100,344,100,344,,
"Vivienda en quinta (003)",993,2731,993,2731,,
"Vivienda en casa de vecindad (004)",180,652,180,652,,
"Choza o cabaña (005)",986,4263,,,986,4263
"Vivienda improvisada (006)",75,276,75,276,,
"Local no dest.para hab. humana (007)",22,80,17,55,5,25
"Otro tipo (008)",6,18,5,14,1,4
