"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUAURA (000)",46882,194738,39726,168150,7156,26588
"Casa independiente (001)",42731,179767,36081,154831,6650,24936
"Departamento en edificio (002)",1102,3742,1102,3742,,
"Vivienda en quinta (003)",1038,3876,1038,3876,,
"Vivienda en casa de vecindad (004)",750,2869,750,2869,,
"Choza o cabaña (005)",494,1611,,,494,1611
"Vivienda improvisada (006)",675,2605,675,2605,,
"Local no dest.para hab. humana (007)",88,262,76,221,12,41
"Otro tipo (008)",4,6,4,6,,
