"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASTILLA (000)",16479,10234,2059,1820,2366
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",68,,5,13,50
"Profes., científicos e intelectuales (002)",832,207,127,267,231
"Técnicos de nivel medio y trab. asimilados (003)",567,244,33,53,237
"Jefes y empleados de oficina (004)",384,79,32,37,236
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1415,1271,38,28,78
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3154,2852,279,23,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1583,562,109,213,699
"Obreros construc.,conf.,papel, fab., instr. (008)",1132,674,129,99,230
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",7018,4142,1288,1073,515
"Otra (010)",84,,,,84
"Ocupación no especificada (011)",242,203,19,14,6
"Hombres (012)",11486,6728,1474,1278,2006
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",50,,1,11,38
"Profes., científicos e intelectuales (014)",375,68,50,121,136
"Técnicos de nivel medio y trab. asimilados (015)",377,134,26,45,172
"Jefes y empleados de oficina (016)",197,28,13,15,141
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",489,381,20,19,69
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2629,2371,237,21,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1482,476,101,212,693
"Obreros construc.,conf.,papel, fab., instr. (020)",1116,665,124,98,229
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4607,2547,894,726,440
"Otra (022)",83,,,,83
"Ocupación no especificada (023)",81,58,8,10,5
"Mujeres (024)",4993,3506,585,542,360
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",18,,4,2,12
"Profes., científicos e intelectuales (026)",457,139,77,146,95
"Técnicos de nivel medio y trab. asimilados (027)",190,110,7,8,65
"Jefes y empleados de oficina (028)",187,51,19,22,95
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",926,890,18,9,9
"Agricult.trabaj.calif.agrop.y pesqueros (030)",525,481,42,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",101,86,8,1,6
"Obreros construc.,conf.,papel, fab., instr. (032)",16,9,5,1,1
