"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia JORGE BASADRE (000)",3115,6512,6103,,111,93.7,1.7
"De 12 a 14 años (001)",208,1,1,,,100,
"De 15 a 19 años (002)",278,42,41,6,97.6,14.3,
"De 20 a 24 años (003)",376,262,260,28,99.2,10.7,
"De 25 a 29 años (004)",415,488,474,35,97.1,7.2,
"De 30 a 34 años (005)",380,667,653,23,97.9,3.4,
"De 35 a 39 años (006)",329,781,748,15,95.8,1.9,
"De 40 a 44 años (007)",271,696,673,3,96.7,0.4,
"De 45 a 49 años (008)",224,691,670,1,97,0.1,
"De 50 y más años (009)",634,2884,2583,,89.6,,
"Conviviente (010)",889,1888,1811,67,95.9,3.5,
"De 12 a 14 años (011)",2,,,,,,
"De 15 a 19 años (012)",46,28,28,6,100,21.4,
"De 20 a 24 años (013)",183,186,184,24,98.9,12.9,
"De 25 a 29 años (014)",184,275,271,23,98.5,8.4,
"De 30 a 34 años (015)",158,327,319,10,97.6,3.1,
"De 35 a 39 años (016)",110,270,258,4,95.6,1.5,
"De 40 a 44 años (017)",57,174,168,,96.6,,
"De 45 a 49 años (018)",47,144,144,,100,,
"De 50 y más años (019)",102,484,439,,90.7,,
"Separado(a) (020)",91,274,258,2,94.2,0.7,
"De 20 a 24 años (023)",6,7,7,1,100,14.3,
"De 25 a 29 años (024)",10,12,11,,91.7,,
"De 30 a 34 años (025)",6,8,8,,100,,
"De 35 a 39 años (026)",19,45,44,1,97.8,2.2,
"De 40 a 44 años (027)",11,26,25,,96.2,,
"De 45 a 49 años (028)",11,42,41,,97.6,,
"De 50 y más años (029)",28,134,122,,91,,
"Casado(a) (030)",1088,3359,3149,35,93.7,1,
"De 15 a 19 años (032)",6,3,2,,66.7,,
"De 20 a 24 años (033)",36,42,42,1,100,2.4,
"De 25 a 29 años (034)",87,153,145,8,94.8,5.2,
"De 30 a 34 años (035)",148,299,293,13,98,4.3,
"De 35 a 39 años (036)",161,423,404,9,95.5,2.1,
"De 40 a 44 años (037)",168,436,427,3,97.9,0.7,
"De 45 a 49 años (038)",136,413,399,1,96.6,0.2,
"De 50 y más años (039)",346,1590,1437,,90.4,,
"Viudo(a) (040)",135,665,575,1,86.5,0.2,
"De 20 a 24 años (043)",1,2,2,,100,,
"De 25 a 29 años (044)",2,4,3,1,75,25,
