"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUACAYBAMBA (000)",18919,1239,3144,3100,1921,2383,2424,3498,1210
"Sabe leer y escribir (001)",13602,,1872,3013,1863,2129,1941,2285,499
"No sabe leer y escribir (002)",5317,1239,1272,87,58,254,483,1213,711
"Hombres (004)",9439,624,1545,1636,1011,1166,1142,1750,565
"Sabe leer y escribir (005)",7533,,924,1592,985,1099,1037,1505,391
"No sabe leer y escribir (006)",1906,624,621,44,26,67,105,245,174
"Mujeres (008)",9480,615,1599,1464,910,1217,1282,1748,645
"Sabe leer y escribir (009)",6069,,948,1421,878,1030,904,780,108
"No sabe leer y escribir (010)",3411,615,651,43,32,187,378,968,537
,,,,,,,,,
"URBANA (012)",3483,181,481,554,387,444,511,723,202
"Sabe leer y escribir (013)",2944,,343,551,381,433,482,627,127
"No sabe leer y escribir (014)",539,181,138,3,6,11,29,96,75
"Hombres (016)",1749,79,221,299,208,210,251,387,94
"Sabe leer y escribir (017)",1577,,159,297,205,207,247,376,86
"No sabe leer y escribir (018)",172,79,62,2,3,3,4,11,8
"Mujeres (020)",1734,102,260,255,179,234,260,336,108
"Sabe leer y escribir (021)",1367,,184,254,176,226,235,251,41
"No sabe leer y escribir (022)",367,102,76,1,3,8,25,85,67
,,,,,,,,,
"RURAL (024)",15436,1058,2663,2546,1534,1939,1913,2775,1008
"Sabe leer y escribir (025)",10658,,1529,2462,1482,1696,1459,1658,372
"No sabe leer y escribir (026)",4778,1058,1134,84,52,243,454,1117,636
"Hombres (028)",7690,545,1324,1337,803,956,891,1363,471
"Sabe leer y escribir (029)",5956,,765,1295,780,892,790,1129,305
"No sabe leer y escribir (030)",1734,545,559,42,23,64,101,234,166
"Mujeres (032)",7746,513,1339,1209,731,983,1022,1412,537
"Sabe leer y escribir (033)",4702,,764,1167,702,804,669,529,67
"No sabe leer y escribir (034)",3044,513,575,42,29,179,353,883,470
