"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PARINACOCHAS (000)",10001,1123,18,2809,3175,558,1462,234,622
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",46,,,,14,1,13,4,14
"Profes., científicos e intelectuales (002)",1185,,,,39,54,623,57,412
"Técnicos de nivel medio ytrab.asimilados (003)",288,,,7,48,32,148,26,27
"Jefes y empleados de oficina (004)",268,,,,67,26,120,14,41
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",795,46,1,191,324,75,123,17,18
"Agricult.trabaj. calif.agrop. y pesquros (006)",2519,500,6,1097,669,93,87,39,28
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1148,32,2,287,589,76,109,29,24
"Obreros. construc., conf., papel, fab., instr (008)",399,9,,78,188,37,60,13,14
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2987,501,9,1060,1101,131,136,26,23
"Otra (010)",20,,,,3,3,3,5,6
"Ocupación no especificada (011)",346,35,,89,133,30,40,4,15
"Hombres (012)",6788,500,8,1999,2415,400,856,182,428
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",35,,,,12,1,7,3,12
"Profes., científicos e intelectuales (014)",645,,,,19,19,309,32,266
"Técnicos de nivel medio ytrab.asimilados (015)",178,,,4,29,23,81,22,19
"Jefes y empleados de oficina (016)",148,,,,48,18,47,8,27
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",299,5,,51,136,30,55,12,10
"Agricult.trabaj. calif.agrop. y pesquros (018)",2003,273,1,923,582,85,75,39,25
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1013,8,2,246,536,70,101,28,22
"Obreros. construc., conf., papel, fab., instr (020)",384,4,,75,184,36,58,13,14
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1839,198,5,656,766,91,91,17,15
"Otra (022)",20,,,,3,3,3,5,6
"Ocupación no especificada (023)",224,12,,44,100,24,29,3,12
"Mujeres (024)",3213,623,10,810,760,158,606,52,194
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",11,,,,2,,6,1,2
"Profes., científicos e intelectuales (026)",540,,,,20,35,314,25,146
"Técnicos de nivel medio ytrab.asimilados (027)",110,,,3,19,9,67,4,8
"Jefes y empleados de oficina (028)",120,,,,19,8,73,6,14
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",496,41,1,140,188,45,68,5,8
"Agricult.trabaj. calif.agrop. y pesquros (030)",516,227,5,174,87,8,12,,3
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",135,24,,41,53,6,8,1,2
"Obreros. construc., conf., papel, fab., instr (032)",15,5,,3,4,1,2,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",1148,303,4,404,335,40,45,9,8
"Ocupación no especificada (035)",122,23,,45,33,6,11,1,3
,,,,,,,,,
"URBANA (036)",6061,314,9,1430,2126,376,1171,153,482
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",37,,,,11,1,12,3,10
"Profes., científicos e intelectuales (038)",1036,,,,25,47,560,47,357
