"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PISCO (000)",125879,124897,662,320
"Hombres (001)",64083,63580,332,171
"Mujeres (002)",61796,61317,330,149
"Menores de 1 año (003)",2394,2022,251,121
"Hombres (004)",1195,1005,134,56
"Mujeres (005)",1199,1017,117,65
"De 1 a 5 años (006)",12701,12182,327,192
"Hombres (007)",6466,6178,178,110
"Mujeres (008)",6235,6004,149,82
"De 6 a 14 años (009)",22488,22473,10,5
"Hombres (010)",11616,11608,4,4
"Mujeres (011)",10872,10865,6,1
"De 15 a 29 años (012)",35039,35034,4,1
"Hombres (013)",18010,18008,1,1
"Mujeres (014)",17029,17026,3,
"De 30 a 44 años (015)",26632,26623,8,1
"Hombres (016)",13185,13183,2,
"Mujeres (017)",13447,13440,6,1
"De 45 a 64 años (018)",19404,19390,14,
"Hombres (019)",9861,9856,5,
"Mujeres (020)",9543,9534,9,
"De 65 a más años (021)",7221,7173,48,
"Hombres (022)",3750,3742,8,
"Mujeres (023)",3471,3431,40,
,,,,
"URBANA (024)",110308,109444,575,289
"Hombres (025)",55747,55306,285,156
"Mujeres (026)",54561,54138,290,133
"Menores de 1 año (027)",2088,1761,216,111
"Hombres (028)",1042,876,113,53
"Mujeres (029)",1046,885,103,58
"De 1 a 5 años (030)",11121,10647,301,173
"Hombres (031)",5630,5371,161,98
"Mujeres (032)",5491,5276,140,75
"De 6 a 14 años (033)",19676,19664,8,4
"Hombres (034)",10176,10170,2,4
"Mujeres (035)",9500,9494,6,
"De 15 a 29 años (036)",30567,30562,4,1
"Hombres (037)",15539,15537,1,1
"Mujeres (038)",15028,15025,3,
"De 30 a 44 años (039)",23626,23621,5,
"Hombres (040)",11583,11582,1,
"Mujeres (041)",12043,12039,4,
"De 45 a 64 años (042)",17135,17127,8,
"Hombres (043)",8637,8634,3,
"Mujeres (044)",8498,8493,5,
"De 65 a más años (045)",6095,6062,33,
"Hombres (046)",3140,3136,4,
"Mujeres (047)",2955,2926,29,
,,,,
"RURAL (048)",15571,15453,87,31
"Hombres (049)",8336,8274,47,15
"Mujeres (050)",7235,7179,40,16
"Menores de 1 año (051)",306,261,35,10
"Hombres (052)",153,129,21,3
"Mujeres (053)",153,132,14,7
"De 1 a 5 años (054)",1580,1535,26,19
"Hombres (055)",836,807,17,12
"Mujeres (056)",744,728,9,7
"De 6 a 14 años (057)",2812,2809,2,1
"Hombres (058)",1440,1438,2,
"Mujeres (059)",1372,1371,,1
"De 15 a 29 años (060)",4472,4472,,
"Hombres (061)",2471,2471,,
"Mujeres (062)",2001,2001,,
"De 30 a 44 años (063)",3006,3002,3,1
"Hombres (064)",1602,1601,1,
"Mujeres (065)",1404,1401,2,1
"De 45 a 64 años (066)",2269,2263,6,
"Hombres (067)",1224,1222,2,
"Mujeres (068)",1045,1041,4,
"De 65 a más años (069)",1126,1111,15,
"Hombres (070)",610,606,4,
"Mujeres (071)",516,505,11,
