"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia SAN MARTIN (000)",65745,156,5960,3825,3703,10649,10797,4714,8047,15422,572,1900
"Agric., ganadería, caza y silvicultura (001)",17551,1,93,105,28,,10741,7,47,6529,,
"Pesca (002)",111,,4,2,,,56,,,49,,
"Explotación de minas y canteras (003)",64,,4,6,5,,,34,7,8,,
"Industrias manufactureras (004)",3754,6,60,203,57,42,,2884,428,74,,
"Suministro de electricidad, gas y agua (005)",222,3,17,33,45,,,37,29,58,,
"Construcción (006)",4416,5,247,208,48,,,223,2633,1052,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",12067,17,90,578,224,7763,,1428,146,1821,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1788,4,17,91,29,319,,1178,84,66,,
"Comercio al por mayor (009)",632,6,8,73,46,443,,2,9,45,,
"Comercio al por menor (010)",9647,7,65,414,149,7001,,248,53,1710,,
"Hoteles y restaurantes (011)",3478,9,37,146,212,2070,,,2,1002,,
"Trans., almac. y comunicaciones (012)",5839,7,37,173,358,36,,35,4584,609,,
"Intermediación financiera (013)",503,6,50,87,345,,,,1,14,,
"Activid.inmobil., empres. y alquileres (014)",3025,6,666,992,583,419,,30,73,256,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2197,45,189,163,885,17,,16,57,253,572,
"Enseñanza (016)",3965,48,3630,50,188,,,,3,46,,
"Servicios sociales y de salud (017)",1414,,603,569,139,27,,11,17,48,,
"Otras activ. serv.comun.soc y personales (018)",1705,3,169,364,142,274,,9,20,724,,
"Hogares privados con servicio doméstico (019)",2871,,,1,,1,,,,2869,,
"Organiz. y organos extraterritoriales (020)",5,,,,5,,,,,,,
"Actividad economica no especificada (021)",2558,,64,145,439,,,,,10,,1900
"Hombres (022)",43257,116,3265,2402,1785,4662,9667,3803,7857,8188,556,956
"Agric., ganadería, caza y silvicultura (023)",14457,1,78,93,19,,9620,7,47,4592,,
"Pesca (024)",98,,4,2,,,47,,,45,,
"Explotación de minas y canteras (025)",62,,4,4,5,,,34,7,8,,
"Industrias manufactureras (026)",2664,3,46,137,35,29,,2005,352,57,,
"Suministro de electricidad, gas y agua (027)",197,3,14,28,29,,,37,29,57,,
"Construcción (028)",4260,5,208,197,36,,,222,2587,1005,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6561,13,70,350,90,3592,,1403,141,902,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",1625,4,16,69,14,215,,1167,80,60,,
"Comercio al por mayor (031)",396,3,5,41,24,273,,2,9,39,,
"Comercio al por menor (032)",4540,6,49,240,52,3104,,234,52,803,,
"Hoteles y restaurantes (033)",859,2,22,64,74,494,,,2,201,,
"Trans., almac. y comunicaciones (034)",5443,7,25,111,238,20,,35,4538,469,,
"Intermediación financiera (035)",323,3,31,49,227,,,,1,12,,
"Activid.inmobil., empres. y alquileres (036)",2058,5,489,668,275,398,,29,64,130,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1582,38,138,105,481,15,,15,52,182,556,
"Enseñanza (038)",1872,35,1689,29,79,,,,3,37,,
"Servicios sociales y de salud (039)",586,,266,200,62,12,,10,17,19,,
"Otras activ. serv.comun.soc y personales (040)",948,1,133,276,63,102,,6,17,350,,
"Hogares privados con servicio doméstico (041)",114,,,,,,,,,114,,
"Organiz. y organos extraterritoriales (042)",4,,,,4,,,,,,,
"Actividad economica no especificada (043)",1169,,48,89,68,,,,,8,,956
"Mujeres (044)",22488,40,2695,1423,1918,5987,1130,911,190,7234,16,944
"Agric., ganadería, caza y silvicultura (045)",3094,,15,12,9,,1121,,,1937,,
"Pesca (046)",13,,,,,,9,,,4,,
"Explotación de minas y canteras (047)",2,,,2,,,,,,,,
"Industrias manufactureras (048)",1090,3,14,66,22,13,,879,76,17,,
"Suministro de electricidad, gas y agua (049)",25,,3,5,16,,,,,1,,
"Construcción (050)",156,,39,11,12,,,1,46,47,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",5506,4,20,228,134,4171,,25,5,919,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",163,,1,22,15,104,,11,4,6,,
"Comercio al por mayor (053)",236,3,3,32,22,170,,,,6,,
"Comercio al por menor (054)",5107,1,16,174,97,3897,,14,1,907,,
"Hoteles y restaurantes (055)",2619,7,15,82,138,1576,,,,801,,
"Trans., almac. y comunicaciones (056)",396,,12,62,120,16,,,46,140,,
"Intermediación financiera (057)",180,3,19,38,118,,,,,2,,
"Activid.inmobil., empres. y alquileres (058)",967,1,177,324,308,21,,1,9,126,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",615,7,51,58,404,2,,1,5,71,16,
"Enseñanza (060)",2093,13,1941,21,109,,,,,9,,
"Servicios sociales y de salud (061)",828,,337,369,77,15,,1,,29,,
"Otras activ. serv.comun.soc y personales (062)",757,2,36,88,79,172,,3,3,374,,
"Hogares privados con servicio doméstico (063)",2757,,,1,,1,,,,2755,,
"Organiz. y organos extraterritoriales (064)",1,,,,1,,,,,,,
"Actividad economica no especificada (065)",1389,,16,56,371,,,,,2,,944
,,,,,,,,,,,,
"URBANA (066)",59998,154,5861,3783,3686,10508,7685,4668,7918,13392,531,1812
"Agric., ganadería, caza y silvicultura (067)",12682,1,90,101,28,,7650,7,44,4761,,
"Pesca (068)",75,,4,2,,,35,,,34,,
"Explotación de minas y canteras (069)",64,,4,6,5,,,34,7,8,,
"Industrias manufactureras (070)",3716,6,60,201,57,42,,2850,427,73,,
"Suministro de electricidad, gas y agua (071)",222,3,17,33,45,,,37,29,58,,
"Construcción (072)",4314,5,246,204,48,,,220,2593,998,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",11924,17,90,575,224,7674,,1419,145,1780,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",1778,4,17,91,29,316,,1172,83,66,,
"Comercio al por mayor (075)",632,6,8,73,46,443,,2,9,45,,
"Comercio al por menor (076)",9514,7,65,411,149,6915,,245,53,1669,,
"Hoteles y restaurantes (077)",3430,9,36,141,212,2038,,,2,992,,
"Trans., almac. y comunicaciones (078)",5750,7,37,172,355,35,,35,4501,608,,
"Intermediación financiera (079)",503,6,50,87,345,,,,1,14,,
"Activid.inmobil., empres. y alquileres (080)",2997,6,665,989,583,401,,30,73,250,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",2132,44,188,160,873,17,,16,56,247,531,
"Enseñanza (082)",3876,47,3542,50,188,,,,3,46,,
"Servicios sociales y de salud (083)",1399,,600,559,137,27,,11,17,48,,
"Otras activ. serv.comun.soc y personales (084)",1664,3,168,357,142,273,,9,20,692,,
"Hogares privados con servicio doméstico (085)",2775,,,1,,1,,,,2773,,
"Organiz. y organos extraterritoriales (086)",5,,,,5,,,,,,,
"Actividad economica no especificada (087)",2470,,64,145,439,,,,,10,,1812
"Hombres (088)",38725,114,3212,2370,1770,4592,6869,3769,7729,6867,515,918
"Agric., ganadería, caza y silvicultura (089)",10486,1,75,89,19,,6840,7,44,3411,,
"Pesca (090)",65,,4,2,,,29,,,30,,
"Explotación de minas y canteras (091)",62,,4,4,5,,,34,7,8,,
"Industrias manufactureras (092)",2639,3,46,135,35,29,,1983,351,57,,
"Suministro de electricidad, gas y agua (093)",197,3,14,28,29,,,37,29,57,,
"Construcción (094)",4158,5,207,193,36,,,219,2547,951,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",6482,13,70,348,90,3549,,1394,140,878,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",1616,4,16,69,14,213,,1161,79,60,,
"Comercio al por mayor (097)",396,3,5,41,24,273,,2,9,39,,
"Comercio al por menor (098)",4470,6,49,238,52,3063,,231,52,779,,
"Hoteles y restaurantes (099)",845,2,22,61,74,486,,,2,198,,
"Trans., almac. y comunicaciones (100)",5356,7,25,110,236,19,,35,4456,468,,
"Intermediación financiera (101)",323,3,31,49,227,,,,1,12,,
"Activid.inmobil., empres. y alquileres (102)",2032,5,488,666,275,380,,29,64,125,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",1520,37,138,103,469,15,,15,51,177,515,
"Enseñanza (104)",1824,34,1642,29,79,,,,3,37,,
"Servicios sociales y de salud (105)",580,,266,195,61,12,,10,17,19,,
"Otras activ. serv.comun.soc y personales (106)",913,1,132,269,63,102,,6,17,323,,
"Hogares privados con servicio doméstico (107)",108,,,,,,,,,108,,
"Organiz. y organos extraterritoriales (108)",4,,,,4,,,,,,,
"Actividad economica no especificada (109)",1131,,48,89,68,,,,,8,,918
"Mujeres (110)",21273,40,2649,1413,1916,5916,816,899,189,6525,16,894
"Agric., ganadería, caza y silvicultura (111)",2196,,15,12,9,,810,,,1350,,
"Pesca (112)",10,,,,,,6,,,4,,
"Explotación de minas y canteras (113)",2,,,2,,,,,,,,
"Industrias manufactureras (114)",1077,3,14,66,22,13,,867,76,16,,
"Suministro de electricidad, gas y agua (115)",25,,3,5,16,,,,,1,,
"Construcción (116)",156,,39,11,12,,,1,46,47,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",5442,4,20,227,134,4125,,25,5,902,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",162,,1,22,15,103,,11,4,6,,
"Comercio al por mayor (119)",236,3,3,32,22,170,,,,6,,
"Comercio al por menor (120)",5044,1,16,173,97,3852,,14,1,890,,
"Hoteles y restaurantes (121)",2585,7,14,80,138,1552,,,,794,,
"Trans., almac. y comunicaciones (122)",394,,12,62,119,16,,,45,140,,
"Intermediación financiera (123)",180,3,19,38,118,,,,,2,,
"Activid.inmobil., empres. y alquileres (124)",965,1,177,323,308,21,,1,9,125,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",612,7,50,57,404,2,,1,5,70,16,
"Enseñanza (126)",2052,13,1900,21,109,,,,,9,,
"Servicios sociales y de salud (127)",819,,334,364,76,15,,1,,29,,
"Otras activ. serv.comun.soc y personales (128)",751,2,36,88,79,171,,3,3,369,,
"Hogares privados con servicio doméstico (129)",2667,,,1,,1,,,,2665,,
"Organiz. y organos extraterritoriales (130)",1,,,,1,,,,,,,
"Actividad economica no especificada (131)",1339,,16,56,371,,,,,2,,894
,,,,,,,,,,,,
"RURAL (132)",5747,2,99,42,17,141,3112,46,129,2030,41,88
"Agric., ganadería, caza y silvicultura (133)",4869,,3,4,,,3091,,3,1768,,
"Pesca (134)",36,,,,,,21,,,15,,
"Industrias manufactureras (136)",38,,,2,,,,34,1,1,,
"Construcción (138)",102,,1,4,,,,3,40,54,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",143,,,3,,89,,9,1,41,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",10,,,,,3,,6,1,,,
"Comercio al por menor (142)",133,,,3,,86,,3,,41,,
"Hoteles y restaurantes (143)",48,,1,5,,32,,,,10,,
"Trans., almac. y comunicaciones (144)",89,,,1,3,1,,,83,1,,
"Activid.inmobil., empres. y alquileres (146)",28,,1,3,,18,,,,6,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",65,1,1,3,12,,,,1,6,41,
"Enseñanza (148)",89,1,88,,,,,,,,,
"Servicios sociales y de salud (149)",15,,3,10,2,,,,,,,
"Otras activ. serv.comun.soc y personales (150)",41,,1,7,,1,,,,32,,
"Hogares privados con servicio doméstico (151)",96,,,,,,,,,96,,
"Actividad economica no especificada (153)",88,,,,,,,,,,,88
"Hombres (154)",4532,2,53,32,15,70,2798,34,128,1321,41,38
"Agric., ganadería, caza y silvicultura (155)",3971,,3,4,,,2780,,3,1181,,
"Pesca (156)",33,,,,,,18,,,15,,
"Industrias manufactureras (158)",25,,,2,,,,22,1,,,
"Construcción (160)",102,,1,4,,,,3,40,54,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",79,,,2,,43,,9,1,24,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",9,,,,,2,,6,1,,,
"Comercio al por menor (164)",70,,,2,,41,,3,,24,,
"Hoteles y restaurantes (165)",14,,,3,,8,,,,3,,
"Trans., almac. y comunicaciones (166)",87,,,1,2,1,,,82,1,,
"Activid.inmobil., empres. y alquileres (168)",26,,1,2,,18,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",62,1,,2,12,,,,1,5,41,
"Enseñanza (170)",48,1,47,,,,,,,,,
"Servicios sociales y de salud (171)",6,,,5,1,,,,,,,
"Otras activ. serv.comun.soc y personales (172)",35,,1,7,,,,,,27,,
"Hogares privados con servicio doméstico (173)",6,,,,,,,,,6,,
"Actividad economica no especificada (175)",38,,,,,,,,,,,38
"Mujeres (176)",1215,,46,10,2,71,314,12,1,709,,50
"Agric., ganadería, caza y silvicultura (177)",898,,,,,,311,,,587,,
"Pesca (178)",3,,,,,,3,,,,,
"Industrias manufactureras (180)",13,,,,,,,12,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",64,,,1,,46,,,,17,,
"Venta, mant.y rep. veh.autom.y motoc. (184)",1,,,,,1,,,,,,
"Comercio al por menor (186)",63,,,1,,45,,,,17,,
"Hoteles y restaurantes (187)",34,,1,2,,24,,,,7,,
"Trans., almac. y comunicaciones (188)",2,,,,1,,,,1,,,
"Activid.inmobil., empres. y alquileres (190)",2,,,1,,,,,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",3,,1,1,,,,,,1,,
"Enseñanza (192)",41,,41,,,,,,,,,
"Servicios sociales y de salud (193)",9,,3,5,1,,,,,,,
"Otras activ. serv.comun.soc y personales (194)",6,,,,,1,,,,5,,
"Hogares privados con servicio doméstico (195)",90,,,,,,,,,90,,
"Actividad economica no especificada (197)",50,,,,,,,,,,,50
