"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANDARAVE (000)",4063,382,2,1404,1646,132,184,90,223
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",18,,,4,5,,4,1,4
"Profes., científicos e intelectuales (002)",210,,,,21,12,46,4,127
"Técnicos de nivel medio ytrab.asimilados (003)",37,,,1,3,2,21,7,3
"Jefes y empleados de oficina (004)",74,,,4,29,3,10,11,17
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",161,9,,45,80,8,6,7,6
"Agricult.trabaj. calif.agrop. y pesquros (006)",1546,196,1,650,580,27,43,26,23
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",116,12,,28,55,6,4,4,7
"Obreros. construc., conf., papel, fab., instr (008)",204,1,,46,108,18,13,9,9
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",1588,154,1,597,714,51,34,18,19
"Otra (010)",13,,,,8,,,1,4
"Ocupación no especificada (011)",96,10,,29,43,5,3,2,4
"Hombres (012)",2550,129,,849,1144,92,125,78,133
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",15,,,4,4,,3,,4
"Profes., científicos e intelectuales (014)",80,,,,3,,19,1,57
"Técnicos de nivel medio ytrab.asimilados (015)",27,,,1,3,1,13,7,2
"Jefes y empleados de oficina (016)",53,,,4,20,2,6,10,11
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",63,1,,15,29,6,2,6,4
"Agricult.trabaj. calif.agrop. y pesquros (018)",1114,85,,492,439,20,36,23,19
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",58,4,,8,27,4,4,4,7
"Obreros. construc., conf., papel, fab., instr (020)",192,1,,41,101,18,13,9,9
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",892,37,,278,482,40,27,15,13
"Otra (022)",13,,,,8,,,1,4
"Ocupación no especificada (023)",43,1,,6,28,1,2,2,3
"Mujeres (024)",1513,253,2,555,502,40,59,12,90
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",3,,,,1,,1,1,
"Profes., científicos e intelectuales (026)",130,,,,18,12,27,3,70
"Técnicos de nivel medio ytrab.asimilados (027)",10,,,,,1,8,,1
"Jefes y empleados de oficina (028)",21,,,,9,1,4,1,6
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",98,8,,30,51,2,4,1,2
"Agricult.trabaj. calif.agrop. y pesquros (030)",432,111,1,158,141,7,7,3,4
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",58,8,,20,28,2,,,
"Obreros. construc., conf., papel, fab., instr (032)",12,,,5,7,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",696,117,1,319,232,11,7,3,6
"Ocupación no especificada (035)",53,9,,23,15,4,1,,1
,,,,,,,,,
"URBANA (036)",2639,215,,872,1064,93,142,80,173
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",16,,,4,3,,4,1,4
"Profes., científicos e intelectuales (038)",164,,,,11,10,39,3,101
"Técnicos de nivel medio ytrab.asimilados (039)",31,,,1,2,2,18,5,3
