"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia GRAN CHIMU (000)",10101,1188,2677,4735,117,1178,206
"Sin nivel (001)",805,13,178,469,5,98,42
"Educación inicial (002)",44,,19,19,,5,1
"Primaria (003)",5052,90,1296,2853,45,671,97
"Secundaria (004)",2676,246,949,1032,37,354,58
"Superior no univ. incompleta (005)",260,76,67,94,6,15,2
"Superior no univ. completa (006)",548,278,85,152,9,22,2
"Superior univ. incompleta (007)",129,53,27,37,7,4,1
"Superior univ. completa (008)",587,432,56,79,8,9,3
"Hombres (010)",8659,735,2559,4222,100,1031,12
"Sin nivel (011)",657,3,157,411,5,80,1
"Educación inicial (012)",43,,19,19,,5,
"Primaria (013)",4555,50,1235,2628,39,596,7
"Secundaria (014)",2366,187,922,908,30,315,4
"Superior no univ. incompleta (015)",192,49,64,62,5,12,
"Superior no univ. completa (016)",364,145,82,115,7,15,
"Superior univ. incompleta (017)",101,37,26,29,6,3,
"Superior univ. completa (018)",381,264,54,50,8,5,
"Mujeres (020)",1442,453,118,513,17,147,194
"Sin nivel (021)",148,10,21,58,,18,41
"Educación inicial (022)",1,,,,,,1
"Primaria (023)",497,40,61,225,6,75,90
"Secundaria (024)",310,59,27,124,7,39,54
"Superior no univ. incompleta (025)",68,27,3,32,1,3,2
"Superior no univ. completa (026)",184,133,3,37,2,7,2
"Superior univ. incompleta (027)",28,16,1,8,1,1,1
"Superior univ. completa (028)",206,168,2,29,,4,3
,,,,,,,
"URBANA (030)",2316,557,592,881,56,154,76
"Sin nivel (031)",63,4,11,29,2,8,9
"Educación inicial (032)",5,,3,2,,,
"Primaria (033)",763,60,259,340,12,59,33
"Secundaria (034)",727,102,240,270,19,67,29
"Superior no univ. incompleta (035)",133,30,28,64,5,5,1
"Superior no univ. completa (036)",296,167,23,89,7,9,1
"Superior univ. incompleta (037)",61,24,8,21,6,1,1
"Superior univ. completa (038)",268,170,20,66,5,5,2
"Hombres (040)",1616,293,558,626,42,92,5
"Sin nivel (041)",22,,9,10,2,1,
"Educación inicial (042)",5,,3,2,,,
"Primaria (043)",570,28,240,252,8,38,4
"Secundaria (044)",566,68,233,207,12,45,1
"Superior no univ. incompleta (045)",90,15,26,41,4,4,
"Superior no univ. completa (046)",164,78,21,56,6,3,
"Superior univ. incompleta (047)",41,13,7,16,5,,
"Superior univ. completa (048)",158,91,19,42,5,1,
"Mujeres (050)",700,264,34,255,14,62,71
"Sin nivel (051)",41,4,2,19,,7,9
"Primaria (053)",193,32,19,88,4,21,29
"Secundaria (054)",161,34,7,63,7,22,28
"Superior no univ. incompleta (055)",43,15,2,23,1,1,1
"Superior no univ. completa (056)",132,89,2,33,1,6,1
"Superior univ. incompleta (057)",20,11,1,5,1,1,1
"Superior univ. completa (058)",110,79,1,24,,4,2
,,,,,,,
"RURAL (060)",7785,631,2085,3854,61,1024,130
"Sin nivel (061)",742,9,167,440,3,90,33
"Educación inicial (062)",39,,16,17,,5,1
"Primaria (063)",4289,30,1037,2513,33,612,64
"Secundaria (064)",1949,144,709,762,18,287,29
"Superior no univ. incompleta (065)",127,46,39,30,1,10,1
"Superior no univ. completa (066)",252,111,62,63,2,13,1
"Superior univ. incompleta (067)",68,29,19,16,1,3,
"Superior univ. completa (068)",319,262,36,13,3,4,1
"Hombres (070)",7043,442,2001,3596,58,939,7
"Sin nivel (071)",635,3,148,401,3,79,1
"Educación inicial (072)",38,,16,17,,5,
"Primaria (073)",3985,22,995,2376,31,558,3
"Secundaria (074)",1800,119,689,701,18,270,3
"Superior no univ. incompleta (075)",102,34,38,21,1,8,
"Superior no univ. completa (076)",200,67,61,59,1,12,
"Superior univ. incompleta (077)",60,24,19,13,1,3,
"Superior univ. completa (078)",223,173,35,8,3,4,
"Mujeres (080)",742,189,84,258,3,85,123
"Sin nivel (081)",107,6,19,39,,11,32
"Educación inicial (082)",1,,,,,,1
"Primaria (083)",304,8,42,137,2,54,61
"Secundaria (084)",149,25,20,61,,17,26
"Superior no univ. incompleta (085)",25,12,1,9,,2,1
"Superior no univ. completa (086)",52,44,1,4,1,1,1
"Superior univ. incompleta (087)",8,5,,3,,,
"Superior univ. completa (088)",96,89,1,5,,,1
