"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TAMBOPATA (000)",34005,564,13115,12393,6982,951
"Agric., ganadería, caza y silvicultura (001)",5411,116,1618,1698,1498,481
"Pesca (002)",119,3,44,41,27,4
"Explotación de minas y canteras (003)",2021,8,1013,714,268,18
"Industrias manufactureras (004)",2371,27,976,837,472,59
"Suministro de electricidad, gas y agua (005)",86,1,24,36,22,3
"Construcción (006)",2636,29,898,1029,629,51
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6111,191,2364,2212,1219,125
"Venta, mant.y rep. veh.autom.y motoc. (008)",858,14,432,263,134,15
"Comercio al por mayor (009)",291,6,116,108,57,4
"Comercio al por menor (010)",4962,171,1816,1841,1028,106
"Hoteles y restaurantes (011)",2601,74,1178,833,463,53
"Trans., almac. y comunicaciones (012)",3890,20,1783,1414,651,22
"Intermediación financiera (013)",132,,59,64,7,2
"Activid.inmobil., empres. y alquileres (014)",1189,7,495,441,229,17
"Admin.pub. y defensa; p. segur.soc.afil (015)",1314,,402,569,330,13
"Enseñanza (016)",1581,,297,899,373,12
"Servicios sociales y de salud (017)",730,,209,362,152,7
"Otras activ. serv.comun.soc y personales (018)",1274,35,554,420,232,33
"Hogares privados con servicio doméstico (019)",681,28,380,179,84,10
"Actividad economica no especificada (021)",1858,25,821,645,326,41
"Hombres (022)",22485,346,8357,7969,5049,764
"Agric., ganadería, caza y silvicultura (023)",4537,95,1382,1388,1259,413
"Pesca (024)",106,3,39,36,24,4
"Explotación de minas y canteras (025)",1808,8,880,655,247,18
"Industrias manufactureras (026)",1934,24,824,648,384,54
"Suministro de electricidad, gas y agua (027)",75,1,20,29,22,3
"Construcción (028)",2523,28,842,984,618,51
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2761,105,1043,898,633,82
"Venta, mant.y rep. veh.autom.y motoc. (030)",785,12,388,243,127,15
"Comercio al por mayor (031)",159,3,67,55,32,2
"Comercio al por menor (032)",1817,90,588,600,474,65
"Hoteles y restaurantes (033)",525,24,237,127,115,22
"Trans., almac. y comunicaciones (034)",3620,19,1602,1343,636,20
"Intermediación financiera (035)",80,,35,40,4,1
"Activid.inmobil., empres. y alquileres (036)",824,5,315,304,187,13
"Admin.pub. y defensa; p. segur.soc.afil (037)",947,,257,417,260,13
"Enseñanza (038)",719,,110,381,219,9
"Servicios sociales y de salud (039)",317,,84,145,83,5
