"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHANCHAMAYO (000)",64233,54389,3817,2540,3487
"Sin nivel (001)",4744,4532,140,32,40
"Educación inicial (002)",78,72,5,1,
"Primaria (003)",20242,18949,804,262,227
"Secundaria (004)",25542,22355,1492,772,923
"Superior no univ. incompleta (005)",3211,2444,315,168,284
"Superior no univ. completa (006)",3684,2227,351,389,717
"Superior univ. incompleta (007)",2120,1482,189,154,295
"Superior univ. completa (008)",4612,2328,521,762,1001
"De 06 a 14 años (010)",1471,1384,72,14,1
"Sin nivel (011)",48,47,1,,
"Educación inicial (012)",23,21,1,1,
"Primaria (013)",938,878,54,6,
"Secundaria (014)",462,438,16,7,1
"De 15 a 29 años (020)",23254,19714,1581,877,1082
"Sin nivel (021)",354,328,18,4,4
"Educación inicial (022)",32,29,3,,
"Primaria (023)",5162,4817,219,85,41
"Secundaria (024)",12941,11374,812,377,378
"Superior no univ. incompleta (025)",1618,1211,179,98,130
"Superior no univ. completa (026)",1334,820,153,131,230
"Superior univ. incompleta (027)",833,603,71,59,100
"Superior univ. completa (028)",980,532,126,123,199
"De 30 a 44 años (030)",22282,18157,1352,1146,1627
"Sin nivel (031)",1527,1437,60,16,14
"Educación inicial (032)",23,22,1,,
"Primaria (033)",6868,6395,280,96,97
"Secundaria (034)",7930,6861,435,269,365
"Superior no univ. incompleta (035)",1079,830,92,50,107
"Superior no univ. completa (036)",1648,955,134,199,360
"Superior univ. incompleta (037)",838,556,84,70,128
"Superior univ. completa (038)",2369,1101,266,446,556
"De 45 a 64 años (040)",14126,12176,726,476,748
"Sin nivel (041)",1939,1867,43,11,18
"Primaria (043)",5717,5351,214,70,82
"Secundaria (044)",3778,3282,212,111,173
"Superior no univ. incompleta (045)",480,374,41,18,47
"Superior no univ. completa (046)",649,405,64,57,123
"Superior univ. incompleta (047)",402,281,31,25,65
"Superior univ. completa (048)",1161,616,121,184,240
"De 65 y más años (050)",3100,2958,86,27,29
"Sin nivel (051)",876,853,18,1,4
"Primaria (053)",1557,1508,37,5,7
"Secundaria (054)",431,400,17,8,6
"Superior no univ. incompleta (055)",34,29,3,2,
"Superior no univ. completa (056)",53,47,,2,4
"Superior univ. incompleta (057)",47,42,3,,2
