"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YUNGUYO (000)",47148,17145,30003
"Casa independiente (001)",46455,16981,29474
"Departamento en edificio (002)",32,32,
"Vivienda en quinta (003)",61,61,
"Vivienda en casa de vecindad (004)",58,58,
"Choza o cabaña (005)",527,,527
"Local no dest.para hab. humana (007)",11,9,2
"Otro tipo (008)",4,4,
