"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CAJATAMBO (000)",2911,578,523,1213,59,395,53,90
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",17,16,,,1,,,
"Profes., científicos e intelectuales (002)",348,323,,23,1,1,,
"Técnicos de nivel medio y trab. asimilados (003)",46,38,,8,,,,
"Jefes y empleados de oficina (004)",82,82,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",208,35,8,142,3,20,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",967,,,918,49,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",162,,117,40,3,2,,
"Obreros construc.,conf.,papel, fab., instr. (008)",90,14,58,17,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",816,44,322,38,1,358,53,
"Otra (010)",12,12,,,,,,
"Ocupación no especificada (011)",73,14,18,27,1,13,,
"Desocupado (012)",90,,,,,,,90
"Hombres (013)",2142,338,456,961,50,253,3,81
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",14,13,,,1,,,
"Profes., científicos e intelectuales (015)",186,170,,15,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",36,28,,8,,,,
"Jefes y empleados de oficina (017)",45,45,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",79,19,,55,1,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",853,,,810,43,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",155,,113,37,3,2,,
"Obreros construc.,conf.,papel, fab., instr. (021)",90,14,58,17,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",556,27,274,8,1,243,3,
"Otra (023)",11,11,,,,,,
"Ocupación no especificada (024)",36,11,11,11,,3,,
"Desocupado (025)",81,,,,,,,81
"Mujeres (026)",769,240,67,252,9,142,50,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,3,,,,,,
"Profes., científicos e intelectuales (028)",162,153,,8,,1,,
"Técnicos de nivel medio y trab. asimilados (029)",10,10,,,,,,
"Jefes y empleados de oficina (030)",37,37,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",129,16,8,87,2,16,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",114,,,108,6,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",7,,4,3,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",260,17,48,30,,115,50,
"Otra (036)",1,1,,,,,,
"Ocupación no especificada (037)",37,3,7,16,1,10,,
"Desocupado (038)",9,,,,,,,9
,,,,,,,,
"URBANA (039)",1755,460,300,671,40,184,46,54
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",13,13,,,,,,
"Profes., científicos e intelectuales (041)",261,248,,13,,,,
"Técnicos de nivel medio y trab. asimilados (042)",34,26,,8,,,,
"Jefes y empleados de oficina (043)",70,70,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",169,28,8,112,3,18,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",466,,,433,33,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",65,,28,32,3,2,,
"Obreros construc.,conf.,papel, fab., instr. (047)",61,12,33,15,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",493,38,218,36,,155,46,
"Otra (049)",12,12,,,,,,
"Ocupación no especificada (050)",57,13,13,22,1,8,,
"Desocupado (051)",54,,,,,,,54
"Hombres (052)",1171,265,248,470,33,105,2,48
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",10,10,,,,,,
"Profes., científicos e intelectuales (054)",142,134,,8,,,,
"Técnicos de nivel medio y trab. asimilados (055)",26,18,,8,,,,
"Jefes y empleados de oficina (056)",34,34,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",58,15,,38,1,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",384,,,355,29,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",60,,24,31,3,2,,
"Obreros construc.,conf.,papel, fab., instr. (060)",61,12,33,15,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",311,21,184,8,,96,2,
"Otra (062)",11,11,,,,,,
"Ocupación no especificada (063)",26,10,7,7,,2,,
"Desocupado (064)",48,,,,,,,48
"Mujeres (065)",584,195,52,201,7,79,44,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",3,3,,,,,,
"Profes., científicos e intelectuales (067)",119,114,,5,,,,
"Técnicos de nivel medio y trab. asimilados (068)",8,8,,,,,,
"Jefes y empleados de oficina (069)",36,36,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",111,13,8,74,2,14,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",82,,,78,4,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",5,,4,1,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",182,17,34,28,,59,44,
"Otra (075)",1,1,,,,,,
"Ocupación no especificada (076)",31,3,6,15,1,6,,
"Desocupado (077)",6,,,,,,,6
,,,,,,,,
"RURAL (078)",1156,118,223,542,19,211,7,36
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",4,3,,,1,,,
"Profes., científicos e intelectuales (080)",87,75,,10,1,1,,
"Técnicos de nivel medio y trab. asimilados (081)",12,12,,,,,,
"Jefes y empleados de oficina (082)",12,12,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",39,7,,30,,2,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",501,,,485,16,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",97,,89,8,,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",29,2,25,2,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",323,6,104,2,1,203,7,
"Ocupación no especificada (089)",16,1,5,5,,5,,
"Desocupado (090)",36,,,,,,,36
"Hombres (091)",971,73,208,491,17,148,1,33
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",4,3,,,1,,,
"Profes., científicos e intelectuales (093)",44,36,,7,1,,,
"Técnicos de nivel medio y trab. asimilados (094)",10,10,,,,,,
"Jefes y empleados de oficina (095)",11,11,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",21,4,,17,,,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",469,,,455,14,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",95,,89,6,,,,
"Obreros construc.,conf.,papel, fab., instr. (099)",29,2,25,2,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (100)",245,6,90,,1,147,1,
"Ocupación no especificada (102)",10,1,4,4,,1,,
"Desocupado (103)",33,,,,,,,33
"Mujeres (104)",185,45,15,51,2,63,6,3
