"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia URUBAMBA (000)",13169,53426,6101,24553,7068,28873
"Casa independiente (001)",12663,51901,5615,23084,7048,28817
"Departamento en edificio (002)",89,251,89,251,,
"Vivienda en quinta (003)",63,236,63,236,,
"Vivienda en casa de vecindad (004)",308,910,308,910,,
"Choza o cabaña (005)",14,43,,,14,43
"Vivienda improvisada (006)",8,23,8,23,,
"Local no dest.para hab. humana (007)",8,20,7,19,1,1
"Otro tipo (008)",16,42,11,30,5,12
