"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CANTA (000)",4013,13324,1959,6342,2054,6982
"Casa independiente (001)",3677,12317,1858,5998,1819,6319
"Departamento en edificio (002)",2,4,2,4,,
"Vivienda en quinta (003)",23,66,23,66,,
"Vivienda en casa de vecindad (004)",71,250,71,250,,
"Choza o cabaña (005)",224,627,,,224,627
"Vivienda improvisada (006)",1,6,1,6,,
"Local no dest.para hab. humana (007)",12,50,4,18,8,32
"Otro tipo (008)",3,4,,,3,4
