"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JULCAN (000)",11317,11072,3323,1298,1222,1097,1684,1120,765,563,245,34556
"De 12 a 14 años (001)",1352,1345,1342,3,,,,,,,7,3
"De 15 a 19 años (002)",1506,1493,1254,196,39,2,2,,,,13,288
"De 20 a 24 años (003)",1253,1167,341,404,275,108,35,4,,,86,1447
"De 25 a 29 años (004)",1066,1004,100,230,273,200,182,18,1,,62,2271
"De 30 a 34 años (005)",1026,1000,68,140,226,230,250,65,20,1,26,2958
"De 35 a 39 años (006)",1035,1017,36,97,148,153,335,175,58,15,18,4099
"De 40 a 44 años (007)",842,832,46,52,82,136,240,174,75,27,10,3769
"De 45 a 49 años (008)",671,668,24,39,55,74,159,152,92,73,3,3664
"De 50 y más años (009)",2566,2546,112,137,124,194,481,532,519,447,20,16057
"Conviviente (010)",3872,3824,264,593,671,560,801,462,277,196,48,14701
"De 12 a 14 años (011)",10,5,4,1,,,,,,,5,1
"De 15 a 19 años (012)",277,264,111,122,28,2,1,,,,13,188
"De 20 a 24 años (013)",611,595,67,220,198,81,26,3,,,16,985
"De 25 a 29 años (014)",587,581,15,111,176,134,132,12,1,,6,1508
"De 30 a 34 años (015)",537,537,22,47,122,137,156,41,11,1,,1754
"De 35 a 39 años (016)",507,506,6,35,74,78,171,100,34,8,1,2182
"De 40 a 44 años (017)",381,377,11,19,25,58,111,96,40,17,4,1889
"De 45 a 49 años (018)",277,277,3,11,22,26,64,70,49,32,,1654
"De 50 y más años (019)",685,682,25,27,26,44,140,140,142,138,3,4540
"Separado(a) (020)",475,468,5,181,93,65,62,40,12,10,7,1307
"De 15 a 19 años (022)",26,26,1,24,1,,,,,,,26
"De 20 a 24 años (023)",71,69,1,50,11,5,2,,,,2,95
"De 25 a 29 años (024)",60,57,1,30,16,7,3,,,,3,95
