"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OCROS (000)",3528,2967,276,138,147
"Hombres (001)",2606,2201,206,96,103
"Mujeres (002)",922,766,70,42,44
"De 06 a 14 años (003)",46,40,4,1,1
"Hombres (004)",31,26,3,1,1
"Mujeres (005)",15,14,1,,
"De 15 a 29 años (006)",981,807,85,47,42
"Hombres (007)",731,605,61,38,27
"Mujeres (008)",250,202,24,9,15
"De 30 a 44 años (009)",1073,846,104,60,63
"Hombres (010)",752,593,76,40,43
"Mujeres (011)",321,253,28,20,20
"De 45 a 64 años (012)",1036,905,67,28,36
"Hombres (013)",782,686,52,15,29
"Mujeres (014)",254,219,15,13,7
"De 65 y más años (015)",392,369,16,2,5
"Hombres (016)",310,291,14,2,3
"Mujeres (017)",82,78,2,,2
,,,,,
"URBANA (018)",2130,1735,164,102,129
"Hombres (019)",1508,1219,127,69,93
"Mujeres (020)",622,516,37,33,36
"De 06 a 14 años (021)",25,24,,,1
"Hombres (022)",18,17,,,1
"Mujeres (023)",7,7,,,
"De 15 a 29 años (024)",555,437,48,32,38
"Hombres (025)",391,303,36,25,27
"Mujeres (026)",164,134,12,7,11
"De 30 a 44 años (027)",666,507,59,45,55
"Hombres (028)",444,333,45,29,37
"Mujeres (029)",222,174,14,16,18
"De 45 a 64 años (030)",648,553,41,23,31
"Hombres (031)",477,407,32,13,25
"Mujeres (032)",171,146,9,10,6
"De 65 y más años (033)",236,214,16,2,4
"Hombres (034)",178,159,14,2,3
"Mujeres (035)",58,55,2,,1
,,,,,
"RURAL (036)",1398,1232,112,36,18
"Hombres (037)",1098,982,79,27,10
"Mujeres (038)",300,250,33,9,8
"De 06 a 14 años (039)",21,16,4,1,
"Hombres (040)",13,9,3,1,
"Mujeres (041)",8,7,1,,
"De 15 a 29 años (042)",426,370,37,15,4
"Hombres (043)",340,302,25,13,
"Mujeres (044)",86,68,12,2,4
"De 30 a 44 años (045)",407,339,45,15,8
"Hombres (046)",308,260,31,11,6
"Mujeres (047)",99,79,14,4,2
"De 45 a 64 años (048)",388,352,26,5,5
"Hombres (049)",305,279,20,2,4
"Mujeres (050)",83,73,6,3,1
"De 65 y más años (051)",156,155,,,1
"Hombres (052)",132,132,,,
"Mujeres (053)",24,23,,,1
