"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",44144,3942,8196,6993,5451,7564,5237,5898,863
"Sin nivel (001)",10191,3942,1643,244,363,867,866,1843,423
"Educación inicial (002)",1294,,1222,35,12,18,7,,
"Primaria (003)",22619,,5331,5802,2490,3253,2461,2911,371
"Secundaria (004)",8187,,,912,2553,2788,1218,671,45
"Superior no univ. incompleto (005)",513,,,,20,227,149,115,2
"Superior no univ. completo (006)",615,,,,,198,263,148,6
"Superior univ. incompleto (007)",249,,,,13,88,80,65,3
"Superior univ. completo (008)",476,,,,,125,193,145,13
"Hombres (010)",22524,1911,4108,3625,2747,3702,2662,3304,465
"Sin nivel (011)",3813,1911,765,62,74,118,147,589,147
"Educación inicial (012)",611,,588,17,3,2,1,,
"Primaria (013)",11390,,2755,3027,1091,1292,1167,1795,263
"Secundaria (014)",5417,,,519,1564,1898,872,526,38
"Superior no univ. incompleto (015)",356,,,,9,148,99,98,2
"Superior no univ. completo (016)",443,,,,,121,196,121,5
"Superior univ. incompleto (017)",167,,,,6,55,48,56,2
"Superior univ. completo (018)",327,,,,,68,132,119,8
"Mujeres (020)",21620,2031,4088,3368,2704,3862,2575,2594,398
"Sin nivel (021)",6378,2031,878,182,289,749,719,1254,276
"Educación inicial (022)",683,,634,18,9,16,6,,
"Primaria (023)",11229,,2576,2775,1399,1961,1294,1116,108
"Secundaria (024)",2770,,,393,989,890,346,145,7
"Superior no univ. incompleto (025)",157,,,,11,79,50,17,
"Superior no univ. completo (026)",172,,,,,77,67,27,1
"Superior univ. incompleto (027)",82,,,,7,33,32,9,1
"Superior univ. completo (028)",149,,,,,57,61,26,5
,,,,,,,,,
"URBANA (030)",12297,884,1920,2009,1624,2124,1588,1863,285
"Sin nivel (031)",1597,884,208,27,26,50,73,252,77
"Educación inicial (032)",429,,415,11,1,1,1,,
"Primaria (033)",5397,,1297,1414,380,597,587,965,157
"Secundaria (034)",3749,,,557,1193,1074,530,367,28
"Superior no univ. incompleto (035)",288,,,,15,143,71,57,2
"Superior no univ. completo (036)",364,,,,,118,157,84,5
"Superior univ. incompleto (037)",134,,,,9,47,38,37,3
"Superior univ. completo (038)",339,,,,,94,131,101,13
"Hombres (040)",6193,432,949,1018,844,985,786,1017,162
"Sin nivel (041)",657,432,96,11,7,17,15,57,22
"Educación inicial (042)",191,,187,4,,,,,
"Primaria (043)",2501,,666,723,156,163,211,482,100
"Secundaria (044)",2120,,,280,670,579,306,261,24
"Superior no univ. incompleto (045)",184,,,,7,90,41,44,2
"Superior no univ. completo (046)",239,,,,,61,111,63,4
"Superior univ. incompleto (047)",85,,,,4,26,22,31,2
"Superior univ. completo (048)",216,,,,,49,80,79,8
"Mujeres (050)",6104,452,971,991,780,1139,802,846,123
"Sin nivel (051)",940,452,112,16,19,33,58,195,55
"Educación inicial (052)",238,,228,7,1,1,1,,
"Primaria (053)",2896,,631,691,224,434,376,483,57
"Secundaria (054)",1629,,,277,523,495,224,106,4
"Superior no univ. incompleto (055)",104,,,,8,53,30,13,
"Superior no univ. completo (056)",125,,,,,57,46,21,1
"Superior univ. incompleto (057)",49,,,,5,21,16,6,1
"Superior univ. completo (058)",123,,,,,45,51,22,5
,,,,,,,,,
"RURAL (060)",31847,3058,6276,4984,3827,5440,3649,4035,578
"Sin nivel (061)",8594,3058,1435,217,337,817,793,1591,346
"Educación inicial (062)",865,,807,24,11,17,6,,
"Primaria (063)",17222,,4034,4388,2110,2656,1874,1946,214
"Secundaria (064)",4438,,,355,1360,1714,688,304,17
"Superior no univ. incompleto (065)",225,,,,5,84,78,58,
"Superior no univ. completo (066)",251,,,,,80,106,64,1
"Superior univ. incompleto (067)",115,,,,4,41,42,28,
"Superior univ. completo (068)",137,,,,,31,62,44,
"Hombres (070)",16331,1479,3159,2607,1903,2717,1876,2287,303
"Sin nivel (071)",3156,1479,669,51,67,101,132,532,125
"Educación inicial (072)",420,,401,13,3,2,1,,
"Primaria (073)",8889,,2089,2304,935,1129,956,1313,163
"Secundaria (074)",3297,,,239,894,1319,566,265,14
"Superior no univ. incompleto (075)",172,,,,2,58,58,54,
"Superior no univ. completo (076)",204,,,,,60,85,58,1
"Superior univ. incompleto (077)",82,,,,2,29,26,25,
"Superior univ. completo (078)",111,,,,,19,52,40,
"Mujeres (080)",15516,1579,3117,2377,1924,2723,1773,1748,275
"Sin nivel (081)",5438,1579,766,166,270,716,661,1059,221
"Educación inicial (082)",445,,406,11,8,15,5,,
"Primaria (083)",8333,,1945,2084,1175,1527,918,633,51
"Secundaria (084)",1141,,,116,466,395,122,39,3
"Superior no univ. incompleto (085)",53,,,,3,26,20,4,
"Superior no univ. completo (086)",47,,,,,20,21,6,
"Superior univ. incompleto (087)",33,,,,2,12,16,3,
"Superior univ. completo (088)",26,,,,,12,10,4,
