"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAYLAS (000)",13886,13554,45,2519,2485,2171,3145,1952,941,296,332,51529
"De 12 a 14 años (001)",10,6,,5,1,,,,,,4,7
"De 15 a 19 años (002)",350,325,1,275,40,7,2,,,,25,384
"De 20 a 24 años (003)",1313,1195,6,715,347,104,22,1,,,118,1820
"De 25 a 29 años (004)",1630,1557,2,534,508,312,189,12,,,73,3357
"De 30 a 34 años (005)",1624,1586,3,292,456,383,361,79,11,1,38,4517
"De 35 a 39 años (006)",1616,1592,,172,349,344,494,182,48,3,24,5675
"De 40 a 44 años (007)",1353,1341,3,108,219,234,403,243,107,24,12,5732
"De 45 a 49 años (008)",1180,1172,3,88,142,222,313,246,115,43,8,5449
"De 50 y más años (009)",4810,4780,27,330,423,565,1361,1189,660,225,30,24588
"Conviviente (010)",4643,4574,12,1150,1067,771,912,414,183,65,69,14466
"De 12 a 14 años (011)",5,1,,1,,,,,,,4,1
"De 15 a 19 años (012)",226,205,1,168,32,3,1,,,,21,245
"De 20 a 24 años (013)",797,771,3,441,252,61,13,1,,,26,1188
"De 25 a 29 años (014)",872,863,1,280,281,188,109,4,,,9,1889
"De 30 a 34 años (015)",755,754,2,119,234,186,173,36,4,,1,2154
"De 35 a 39 años (016)",591,587,,53,130,131,181,73,16,3,4,2132
"De 40 a 44 años (017)",420,419,1,31,63,73,138,71,37,5,1,1802
"De 45 a 49 años (018)",313,313,,16,34,62,90,69,32,10,,1486
"De 50 y más años (019)",664,661,4,41,41,67,207,160,94,47,3,3569
"Separado(a) (020)",946,942,4,318,231,129,152,72,28,8,4,2619
"De 15 a 19 años (022)",37,37,,34,3,,,,,,,40
"De 20 a 24 años (023)",108,106,1,74,25,6,,,,,2,142
