"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TARATA (000)",3074,8469,7434,,102,87.8,1.2
"De 12 a 14 años (001)",195,,,,,,
"De 15 a 19 años (002)",301,62,61,16,98.4,25.8,
"De 20 a 24 años (003)",305,234,228,35,97.4,15,
"De 25 a 29 años (004)",290,393,378,19,96.2,4.8,
"De 30 a 34 años (005)",248,486,468,17,96.3,3.5,
"De 35 a 39 años (006)",250,628,594,10,94.6,1.6,
"De 40 a 44 años (007)",228,709,662,4,93.4,0.6,
"De 45 a 49 años (008)",218,805,722,1,89.7,0.1,
"De 50 y más años (009)",1039,5152,4321,,83.9,,
"Sin nivel (010)",398,1970,1644,2,83.5,0.1,
"De 15 a 19 años (012)",3,1,1,,100,,
"De 20 a 24 años (013)",5,1,1,,100,,
"De 25 a 29 años (014)",9,22,19,1,86.4,4.5,
"De 30 a 34 años (015)",7,14,14,,100,,
"De 35 a 39 años (016)",19,64,58,,90.6,,
"De 40 a 44 años (017)",23,67,66,,98.5,,
"De 45 a 49 años (018)",20,111,98,1,88.3,0.9,
"De 50 y más años (019)",312,1690,1387,,82.1,,
"Educacion Inicial (020)",2,3,3,,100,,
"De 25 a 29 años (024)",1,1,1,,100,,
"De 30 a 34 años (025)",1,2,2,,100,,
"Primaria (030)",1183,4474,3879,31,86.7,0.7,
"De 12 a 14 años (031)",67,,,,,,
"De 15 a 19 años (032)",35,16,16,4,100,25,
"De 20 a 24 años (033)",44,71,68,5,95.8,7,
"De 25 a 29 años (034)",52,98,92,5,93.9,5.1,
"De 30 a 34 años (035)",76,192,182,8,94.8,4.2,
"De 35 a 39 años (036)",106,314,303,7,96.5,2.2,
"De 40 a 44 años (037)",116,413,376,2,91,0.5,
"De 45 a 49 años (038)",122,493,439,,89,,
"De 50 y más años (039)",565,2877,2403,,83.5,,
"Secundaria (040)",943,1365,1288,52,94.4,3.8,
"De 12 a 14 años (041)",128,,,,,,
"De 15 a 19 años (042)",205,37,36,8,97.3,21.6,
"De 20 a 24 años (043)",126,117,116,24,99.1,20.5,
"De 25 a 29 años (044)",120,182,176,9,96.7,4.9,
"De 30 a 34 años (045)",83,166,159,6,95.8,3.6,
"De 35 a 39 años (046)",74,171,158,3,92.4,1.8,
"De 40 a 44 años (047)",56,153,150,2,98,1.3,
