"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJABAMBA (000)",21089,618,7250,6729,4761,1731
"Agric., ganadería, caza y silvicultura (001)",13639,466,4741,3918,3118,1396
"Pesca (002)",1,,1,,,
"Explotación de minas y canteras (003)",304,8,174,95,26,1
"Industrias manufactureras (004)",768,14,270,231,186,67
"Suministro de electricidad, gas y agua (005)",22,,4,12,6,
"Construcción (006)",730,16,240,273,174,27
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1520,32,467,546,392,83
"Venta, mant.y rep. veh.autom.y motoc. (008)",85,,36,33,14,2
"Comercio al por mayor (009)",60,1,18,24,16,1
"Comercio al por menor (010)",1375,31,413,489,362,80
"Hoteles y restaurantes (011)",439,20,158,112,127,22
"Trans., almac. y comunicaciones (012)",451,11,224,149,57,10
"Intermediación financiera (013)",25,,16,8,1,
"Activid.inmobil., empres. y alquileres (014)",160,1,59,63,35,2
"Admin.pub. y defensa; p. segur.soc.afil (015)",232,,67,106,53,6
"Enseñanza (016)",1196,,221,736,230,9
"Servicios sociales y de salud (017)",204,,46,89,67,2
"Otras activ. serv.comun.soc y personales (018)",245,5,90,86,50,14
"Hogares privados con servicio doméstico (019)",545,44,259,114,97,31
"Actividad economica no especificada (021)",608,1,213,191,142,61
"Hombres (022)",16909,483,5832,5260,3835,1499
"Agric., ganadería, caza y silvicultura (023)",12737,402,4388,3692,2937,1318
"Pesca (024)",1,,1,,,
"Explotación de minas y canteras (025)",280,5,158,91,25,1
"Industrias manufactureras (026)",573,11,201,170,141,50
"Suministro de electricidad, gas y agua (027)",21,,4,11,6,
"Construcción (028)",710,16,232,264,171,27
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",798,21,271,264,200,42
"Venta, mant.y rep. veh.autom.y motoc. (030)",77,,31,31,13,2
"Comercio al por mayor (031)",47,1,14,18,14,
"Comercio al por menor (032)",674,20,226,215,173,40
"Hoteles y restaurantes (033)",99,7,36,19,32,5
"Trans., almac. y comunicaciones (034)",417,10,203,141,53,10
"Intermediación financiera (035)",13,,4,8,1,
"Activid.inmobil., empres. y alquileres (036)",123,1,49,45,26,2
"Admin.pub. y defensa; p. segur.soc.afil (037)",167,,48,76,37,6
"Enseñanza (038)",566,,91,351,117,7
"Servicios sociales y de salud (039)",104,,27,44,31,2
"Otras activ. serv.comun.soc y personales (040)",115,4,54,32,20,5
