"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LAMAS (000)",78826,37573,41253
"Casa independiente (001)",67165,36400,30765
"Departamento en edificio (002)",4,4,
"Vivienda en quinta (003)",643,643,
"Vivienda en casa de vecindad (004)",301,301,
"Choza o cabaña (005)",10427,,10427
"Vivienda improvisada (006)",181,181,
"Local no dest.para hab. humana (007)",47,30,17
"Otro tipo (008)",58,14,44
