"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUPACA (000)",19037,15756,1511,892,878
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,,4,4,26
"Profes., científicos e intelectuales (002)",1542,398,438,457,249
"Técnicos de nivel medio y trab. asimilados (003)",383,203,46,48,86
"Jefes y empleados de oficina (004)",350,67,45,57,181
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1717,1574,91,32,20
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4799,4606,191,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1465,1162,128,104,71
"Obreros construc.,conf.,papel, fab., instr. (008)",1716,1465,117,80,54
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6537,5931,427,96,83
"Otra (010)",91,,,,91
"Ocupación no especificada (011)",403,350,24,12,17
"Hombres (012)",11371,9136,978,637,620
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",28,,2,4,22
"Profes., científicos e intelectuales (014)",855,196,242,268,149
"Técnicos de nivel medio y trab. asimilados (015)",266,144,37,39,46
"Jefes y empleados de oficina (016)",210,30,30,42,108
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",643,550,56,24,13
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3110,2979,129,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1246,963,114,101,68
"Obreros construc.,conf.,papel, fab., instr. (020)",1694,1447,116,79,52
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3059,2692,237,67,63
"Otra (022)",86,,,,86
"Ocupación no especificada (023)",174,135,15,11,13
"Mujeres (024)",7666,6620,533,255,258
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,2,,4
"Profes., científicos e intelectuales (026)",687,202,196,189,100
"Técnicos de nivel medio y trab. asimilados (027)",117,59,9,9,40
"Jefes y empleados de oficina (028)",140,37,15,15,73
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1074,1024,35,8,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1689,1627,62,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",219,199,14,3,3
"Obreros construc.,conf.,papel, fab., instr. (032)",22,18,1,1,2
