"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PARURO (000)",9028,1503,15,4415,2411,141,250,76,217
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",39,,,5,10,3,7,4,10
"Profes., científicos e intelectuales (002)",349,,,,50,31,118,10,140
"Técnicos de nivel medio ytrab.asimilados (003)",72,1,,1,9,12,31,9,9
"Jefes y empleados de oficina (004)",90,,,2,38,6,26,3,15
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",541,90,,210,192,14,15,12,8
"Agricult.trabaj. calif.agrop. y pesquros (006)",4611,847,10,2656,1019,28,20,13,18
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",152,15,,38,74,10,7,5,3
"Obreros. construc., conf., papel, fab., instr (008)",325,6,,103,193,5,10,8,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2427,427,5,1235,721,17,9,7,6
"Otra (010)",36,,,,21,4,2,3,6
"Ocupación no especificada (011)",386,117,,165,84,11,5,2,2
"Hombres (012)",6717,777,11,3476,2013,92,149,62,137
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",32,,,3,8,2,5,4,10
"Profes., científicos e intelectuales (014)",183,,,,24,11,63,7,78
"Técnicos de nivel medio ytrab.asimilados (015)",49,,,1,7,10,17,7,7
"Jefes y empleados de oficina (016)",58,,,1,26,3,17,3,8
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",113,7,,23,65,5,3,7,3
"Agricult.trabaj. calif.agrop. y pesquros (018)",4185,639,9,2494,972,27,18,9,17
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",119,4,,29,66,7,5,5,3
"Obreros. construc., conf., papel, fab., instr (020)",319,3,,102,191,5,10,8,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1462,104,2,755,570,12,7,7,5
"Otra (022)",36,,,,21,4,2,3,6
"Ocupación no especificada (023)",161,20,,68,63,6,2,2,
"Mujeres (024)",2311,726,4,939,398,49,101,14,80
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",7,,,2,2,1,2,,
"Profes., científicos e intelectuales (026)",166,,,,26,20,55,3,62
"Técnicos de nivel medio ytrab.asimilados (027)",23,1,,,2,2,14,2,2
"Jefes y empleados de oficina (028)",32,,,1,12,3,9,,7
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",428,83,,187,127,9,12,5,5
"Agricult.trabaj. calif.agrop. y pesquros (030)",426,208,1,162,47,1,2,4,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",33,11,,9,8,3,2,,
"Obreros. construc., conf., papel, fab., instr (032)",6,3,,1,2,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",965,323,3,480,151,5,2,,1
"Ocupación no especificada (035)",225,97,,97,21,5,3,,2
,,,,,,,,,
"URBANA (036)",3652,415,10,1571,1138,96,203,57,162
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",30,,,3,9,3,6,4,5
"Profes., científicos e intelectuales (038)",267,,,,33,17,100,9,108
"Técnicos de nivel medio ytrab.asimilados (039)",52,,,1,6,10,24,6,5
