"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHURCAMPA (000)",13029,39,741,191,173,574,5488,558,434,4543,61,227
"Agric., ganadería, caza y silvicultura (001)",9467,,1,8,,,5486,2,2,3968,,
"Pesca (002)",4,,,1,,,2,,,1,,
"Explotación de minas y canteras (003)",695,,28,63,32,,,333,144,95,,
"Industrias manufactureras (004)",167,,,6,4,,,141,13,3,,
"Suministro de electricidad, gas y agua (005)",25,,1,2,,,,21,,1,,
"Construcción (006)",257,,4,8,5,,,14,152,74,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",559,,1,8,,388,,43,1,118,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",29,,,,,3,,25,1,,,
"Comercio al por mayor (009)",26,,,1,,22,,,,3,,
"Comercio al por menor (010)",504,,1,7,,363,,18,,115,,
"Hoteles y restaurantes (011)",253,,4,7,1,127,,,,114,,
"Trans., almac. y comunicaciones (012)",123,,,2,6,,,,107,8,,
"Intermediación financiera (013)",5,,,,3,,,1,,1,,
"Activid.inmobil., empres. y alquileres (014)",110,,19,15,14,47,,1,5,9,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",245,32,10,10,82,3,,1,8,38,61,
"Enseñanza (016)",670,6,634,,14,,,,,16,,
"Servicios sociales y de salud (017)",102,,33,53,5,,,,1,10,,
"Otras activ. serv.comun.soc y personales (018)",50,1,6,6,2,9,,1,1,24,,
"Hogares privados con servicio doméstico (019)",63,,,,,,,,,63,,
"Actividad economica no especificada (021)",234,,,2,5,,,,,,,227
"Hombres (022)",9140,31,413,135,106,227,4642,493,425,2530,52,86
"Agric., ganadería, caza y silvicultura (023)",6894,,1,8,,,4640,1,2,2242,,
"Pesca (024)",4,,,1,,,2,,,1,,
"Explotación de minas y canteras (025)",669,,26,61,27,,,324,141,90,,
"Industrias manufactureras (026)",103,,,3,2,,,88,8,2,,
"Suministro de electricidad, gas y agua (027)",25,,1,2,,,,21,,1,,
"Construcción (028)",251,,4,7,4,,,13,151,72,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",223,,,5,,138,,43,1,36,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",28,,,,,2,,25,1,,,
"Comercio al por mayor (031)",20,,,1,,16,,,,3,,
"Comercio al por menor (032)",175,,,4,,120,,18,,33,,
"Hoteles y restaurantes (033)",66,,1,2,,36,,,,27,,
"Trans., almac. y comunicaciones (034)",117,,,1,5,,,,107,4,,
"Intermediación financiera (035)",2,,,,1,,,1,,,,
"Activid.inmobil., empres. y alquileres (036)",90,,17,12,5,45,,1,5,5,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",178,24,8,8,48,3,,1,8,26,52,
"Enseñanza (038)",367,6,337,,10,,,,,14,,
"Servicios sociales y de salud (039)",35,,12,20,2,,,,1,,,
"Otras activ. serv.comun.soc y personales (040)",20,1,6,3,,5,,,1,4,,
"Hogares privados con servicio doméstico (041)",6,,,,,,,,,6,,
"Actividad economica no especificada (043)",90,,,2,2,,,,,,,86
"Mujeres (044)",3889,8,328,56,67,347,846,65,9,2013,9,141
"Agric., ganadería, caza y silvicultura (045)",2573,,,,,,846,1,,1726,,
"Explotación de minas y canteras (047)",26,,2,2,5,,,9,3,5,,
"Industrias manufactureras (048)",64,,,3,2,,,53,5,1,,
"Construcción (050)",6,,,1,1,,,1,1,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",336,,1,3,,250,,,,82,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",1,,,,,1,,,,,,
"Comercio al por mayor (053)",6,,,,,6,,,,,,
"Comercio al por menor (054)",329,,1,3,,243,,,,82,,
"Hoteles y restaurantes (055)",187,,3,5,1,91,,,,87,,
"Trans., almac. y comunicaciones (056)",6,,,1,1,,,,,4,,
"Intermediación financiera (057)",3,,,,2,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",20,,2,3,9,2,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",67,8,2,2,34,,,,,12,9,
"Enseñanza (060)",303,,297,,4,,,,,2,,
"Servicios sociales y de salud (061)",67,,21,33,3,,,,,10,,
"Otras activ. serv.comun.soc y personales (062)",30,,,3,2,4,,1,,20,,
