"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CASTILLA (000)",36178,1558,3744,3962,3191,5959,5876,8756,3132
"Sabe leer y escribir (001)",31229,,2833,3938,3168,5879,5693,7623,2095
"No sabe leer y escribir (002)",4949,1558,911,24,23,80,183,1133,1037
"Hombres (004)",19140,773,1869,2070,1667,3184,3169,4828,1580
"Sabe leer y escribir (005)",17338,,1408,2057,1654,3169,3138,4581,1331
"No sabe leer y escribir (006)",1802,773,461,13,13,15,31,247,249
"Mujeres (008)",17038,785,1875,1892,1524,2775,2707,3928,1552
"Sabe leer y escribir (009)",13891,,1425,1881,1514,2710,2555,3042,764
"No sabe leer y escribir (010)",3147,785,450,11,10,65,152,886,788
,,,,,,,,,
"URBANA (012)",20599,895,2188,2339,1844,3491,3416,4853,1573
"Sabe leer y escribir (013)",18172,,1704,2328,1837,3457,3332,4398,1116
"No sabe leer y escribir (014)",2427,895,484,11,7,34,84,455,457
"Hombres (016)",10630,437,1080,1212,951,1795,1745,2631,779
"Sabe leer y escribir (017)",9734,,835,1205,946,1787,1735,2540,686
"No sabe leer y escribir (018)",896,437,245,7,5,8,10,91,93
"Mujeres (020)",9969,458,1108,1127,893,1696,1671,2222,794
"Sabe leer y escribir (021)",8438,,869,1123,891,1670,1597,1858,430
"No sabe leer y escribir (022)",1531,458,239,4,2,26,74,364,364
,,,,,,,,,
"RURAL (024)",15579,663,1556,1623,1347,2468,2460,3903,1559
"Sabe leer y escribir (025)",13057,,1129,1610,1331,2422,2361,3225,979
"No sabe leer y escribir (026)",2522,663,427,13,16,46,99,678,580
"Hombres (028)",8510,336,789,858,716,1389,1424,2197,801
"Sabe leer y escribir (029)",7604,,573,852,708,1382,1403,2041,645
"No sabe leer y escribir (030)",906,336,216,6,8,7,21,156,156
"Mujeres (032)",7069,327,767,765,631,1079,1036,1706,758
"Sabe leer y escribir (033)",5453,,556,758,623,1040,958,1184,334
"No sabe leer y escribir (034)",1616,327,211,7,8,39,78,522,424
