"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PALLASCA (000)",7928,104,2488,2688,1951,697
"Agric., ganadería, caza y silvicultura (001)",3929,78,1112,1096,1138,505
"Pesca (002)",11,,5,5,1,
"Explotación de minas y canteras (003)",573,,287,218,68,
"Industrias manufactureras (004)",268,3,81,87,66,31
"Suministro de electricidad, gas y agua (005)",43,,11,21,10,1
"Construcción (006)",561,4,221,198,116,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",524,4,151,203,122,44
"Venta, mant.y rep. veh.autom.y motoc. (008)",20,,11,4,4,1
"Comercio al por mayor (009)",15,,3,7,5,
"Comercio al por menor (010)",489,4,137,192,113,43
"Hoteles y restaurantes (011)",171,5,54,61,44,7
"Trans., almac. y comunicaciones (012)",120,,46,47,24,3
"Intermediación financiera (013)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (014)",100,,38,40,18,4
"Admin.pub. y defensa; p. segur.soc.afil (015)",391,,140,145,90,16
"Enseñanza (016)",642,,108,385,145,4
"Servicios sociales y de salud (017)",73,,23,35,13,2
"Otras activ. serv.comun.soc y personales (018)",211,2,96,67,35,11
"Hogares privados con servicio doméstico (019)",93,7,50,21,11,4
"Actividad economica no especificada (021)",216,1,64,58,50,43
"Hombres (022)",6296,77,1973,2075,1603,568
"Agric., ganadería, caza y silvicultura (023)",3569,64,1007,1013,1031,454
"Pesca (024)",10,,5,4,1,
"Explotación de minas y canteras (025)",556,,277,211,68,
"Industrias manufactureras (026)",224,3,69,75,56,21
"Suministro de electricidad, gas y agua (027)",40,,10,19,10,1
"Construcción (028)",552,4,219,194,113,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",257,2,74,90,68,23
"Venta, mant.y rep. veh.autom.y motoc. (030)",20,,11,4,4,1
"Comercio al por mayor (031)",11,,3,6,2,
"Comercio al por menor (032)",226,2,60,80,62,22
"Hoteles y restaurantes (033)",24,2,6,8,6,2
"Trans., almac. y comunicaciones (034)",111,,42,45,21,3
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",81,,27,35,15,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",286,,95,98,78,15
"Enseñanza (038)",324,,41,195,84,4
"Servicios sociales y de salud (039)",31,,7,13,10,1
"Otras activ. serv.comun.soc y personales (040)",166,,75,56,28,7
"Hogares privados con servicio doméstico (041)",3,1,1,1,,
