"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",18707,13,428,179,116,1774,2003,3187,368,7668,24,511,2436
"Agric., ganadería, caza y silvicultura (001)",3551,,,1,,,2003,,,1547,,,
"Explotación de minas y canteras (003)",7808,1,21,46,5,1,,2779,24,4931,,,
"Industrias manufactureras (004)",339,1,2,3,1,2,,310,15,5,,,
"Suministro de electricidad, gas y agua (005)",12,,1,3,1,,,2,1,4,,,
"Construcción (006)",549,,6,11,3,,,10,208,311,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1850,,2,12,,1446,,77,3,310,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",71,,,1,,11,,58,1,,,,
"Comercio al por mayor (009)",59,,,1,,57,,,,1,,,
"Comercio al por menor (010)",1720,,2,10,,1378,,19,2,309,,,
"Hoteles y restaurantes (011)",464,,,20,4,269,,,,171,,,
"Trans., almac. y comunicaciones (012)",191,,1,13,7,1,,1,106,62,,,
"Intermediación financiera (013)",19,,,,1,15,,,,3,,,
"Activid.inmobil., empres. y alquileres (014)",91,,18,16,8,13,,3,6,27,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",162,8,14,7,66,7,,3,4,29,24,,
"Enseñanza (016)",337,3,323,,6,,,,,5,,,
"Servicios sociales y de salud (017)",83,,37,19,4,4,,,1,18,,,
"Otras activ. serv.comun.soc y personales (018)",116,,3,25,4,16,,2,,66,,,
"Hogares privados con servicio doméstico (019)",178,,,,,,,,,178,,,
"Actividad economica no especificada (021)",521,,,3,6,,,,,1,,511,
"Desocupado (022)",2436,,,,,,,,,,,,2436
"Hombres (023)",13846,12,311,126,86,564,1539,2654,358,6017,23,300,1856
"Agric., ganadería, caza y silvicultura (024)",2397,,,1,,,1539,,,857,,,
"Explotación de minas y canteras (026)",6957,1,21,43,4,,,2357,23,4508,,,
"Industrias manufactureras (027)",227,1,2,3,1,2,,203,11,4,,,
"Suministro de electricidad, gas y agua (028)",9,,1,3,1,,,2,1,1,,,
"Construcción (029)",539,,6,9,3,,,10,206,305,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",652,,,8,,449,,73,2,120,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",63,,,1,,5,,56,1,,,,
"Comercio al por mayor (032)",27,,,1,,25,,,,1,,,
"Comercio al por menor (033)",562,,,6,,419,,17,1,119,,,
"Hoteles y restaurantes (034)",141,,,10,,79,,,,52,,,
"Trans., almac. y comunicaciones (035)",164,,1,8,4,,,1,106,44,,,
"Intermediación financiera (036)",12,,,,1,8,,,,3,,,
"Activid.inmobil., empres. y alquileres (037)",80,,17,10,7,13,,3,6,24,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",132,8,12,4,49,7,,3,3,23,23,,
"Enseñanza (039)",243,2,231,,6,,,,,4,,,
"Servicios sociales y de salud (040)",35,,17,11,1,2,,,,4,,,
"Otras activ. serv.comun.soc y personales (041)",54,,3,13,4,4,,2,,28,,,
"Hogares privados con servicio doméstico (042)",39,,,,,,,,,39,,,
"Actividad economica no especificada (044)",309,,,3,5,,,,,1,,300,
"Desocupado (045)",1856,,,,,,,,,,,,1856
"Mujeres (046)",4861,1,117,53,30,1210,464,533,10,1651,1,211,580
"Agric., ganadería, caza y silvicultura (047)",1154,,,,,,464,,,690,,,
"Explotación de minas y canteras (049)",851,,,3,1,1,,422,1,423,,,
"Industrias manufactureras (050)",112,,,,,,,107,4,1,,,
"Suministro de electricidad, gas y agua (051)",3,,,,,,,,,3,,,
"Construcción (052)",10,,,2,,,,,2,6,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",1198,,2,4,,997,,4,1,190,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",8,,,,,6,,2,,,,,
"Comercio al por mayor (055)",32,,,,,32,,,,,,,
"Comercio al por menor (056)",1158,,2,4,,959,,2,1,190,,,
"Hoteles y restaurantes (057)",323,,,10,4,190,,,,119,,,
"Trans., almac. y comunicaciones (058)",27,,,5,3,1,,,,18,,,
"Intermediación financiera (059)",7,,,,,7,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",11,,1,6,1,,,,,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",30,,2,3,17,,,,1,6,1,,
"Enseñanza (062)",94,1,92,,,,,,,1,,,
"Servicios sociales y de salud (063)",48,,20,8,3,2,,,1,14,,,
"Otras activ. serv.comun.soc y personales (064)",62,,,12,,12,,,,38,,,
"Hogares privados con servicio doméstico (065)",139,,,,,,,,,139,,,
"Actividad economica no especificada (067)",212,,,,1,,,,,,,211,
"Desocupado (068)",580,,,,,,,,,,,,580
,,,,,,,,,,,,,
"URBANA (069)",13123,11,371,146,95,1604,515,2769,331,4986,24,448,1823
"Agric., ganadería, caza y silvicultura (070)",820,,,,,,515,,,305,,,
"Explotación de minas y canteras (072)",6161,1,15,31,4,,,2436,18,3656,,,
"Industrias manufactureras (073)",272,1,2,2,1,2,,248,15,1,,,
"Suministro de electricidad, gas y agua (074)",12,,1,3,1,,,2,1,4,,,
"Construcción (075)",435,,3,10,3,,,9,191,219,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",1699,,2,12,,1315,,67,3,300,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",62,,,1,,10,,50,1,,,,
"Comercio al por mayor (078)",50,,,1,,48,,,,1,,,
"Comercio al por menor (079)",1587,,2,10,,1257,,17,2,299,,,
"Hoteles y restaurantes (080)",428,,,19,4,241,,,,164,,,
"Trans., almac. y comunicaciones (081)",161,,1,8,5,1,,1,94,51,,,
"Intermediación financiera (082)",9,,,,,6,,,,3,,,
"Activid.inmobil., empres. y alquileres (083)",72,,14,10,7,12,,3,5,21,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",143,8,14,7,54,7,,1,3,25,24,,
"Enseñanza (085)",294,1,283,,5,,,,,5,,,
"Servicios sociales y de salud (086)",77,,33,19,4,4,,,1,16,,,
"Otras activ. serv.comun.soc y personales (087)",108,,3,23,3,16,,2,,61,,,
"Hogares privados con servicio doméstico (088)",154,,,,,,,,,154,,,
"Actividad economica no especificada (090)",455,,,2,4,,,,,1,,448,
"Desocupado (091)",1823,,,,,,,,,,,,1823
"Hombres (092)",9727,11,267,103,73,518,369,2376,323,4034,23,261,1369
"Agric., ganadería, caza y silvicultura (093)",537,,,,,,369,,,168,,,
"Explotación de minas y canteras (095)",5536,1,15,31,4,,,2128,17,3340,,,
"Industrias manufactureras (096)",186,1,2,2,1,2,,167,11,,,,
"Suministro de electricidad, gas y agua (097)",9,,1,3,1,,,2,1,1,,,
"Construcción (098)",427,,3,9,3,,,9,190,213,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",601,,,8,,414,,63,2,114,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",55,,,1,,5,,48,1,,,,
"Comercio al por mayor (101)",23,,,1,,21,,,,1,,,
"Comercio al por menor (102)",523,,,6,,388,,15,1,113,,,
"Hoteles y restaurantes (103)",135,,,10,,75,,,,50,,,
"Trans., almac. y comunicaciones (104)",142,,1,5,4,,,1,94,37,,,
"Intermediación financiera (105)",5,,,,,2,,,,3,,,
"Activid.inmobil., empres. y alquileres (106)",67,,14,6,7,12,,3,5,20,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",119,8,12,4,41,7,,1,3,20,23,,
"Enseñanza (108)",211,1,201,,5,,,,,4,,,
"Servicios sociales y de salud (109)",32,,15,11,1,2,,,,3,,,
"Otras activ. serv.comun.soc y personales (110)",51,,3,12,3,4,,2,,27,,,
"Hogares privados con servicio doméstico (111)",33,,,,,,,,,33,,,
"Actividad economica no especificada (113)",267,,,2,3,,,,,1,,261,
"Desocupado (114)",1369,,,,,,,,,,,,1369
"Mujeres (115)",3396,,104,43,22,1086,146,393,8,952,1,187,454
"Agric., ganadería, caza y silvicultura (116)",283,,,,,,146,,,137,,,
"Explotación de minas y canteras (118)",625,,,,,,,308,1,316,,,
"Industrias manufactureras (119)",86,,,,,,,81,4,1,,,
"Suministro de electricidad, gas y agua (120)",3,,,,,,,,,3,,,
"Construcción (121)",8,,,1,,,,,1,6,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",1098,,2,4,,901,,4,1,186,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",7,,,,,5,,2,,,,,
"Comercio al por mayor (124)",27,,,,,27,,,,,,,
"Comercio al por menor (125)",1064,,2,4,,869,,2,1,186,,,
"Hoteles y restaurantes (126)",293,,,9,4,166,,,,114,,,
"Trans., almac. y comunicaciones (127)",19,,,3,1,1,,,,14,,,
"Intermediación financiera (128)",4,,,,,4,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",5,,,4,,,,,,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",24,,2,3,13,,,,,5,1,,
"Enseñanza (131)",83,,82,,,,,,,1,,,
"Servicios sociales y de salud (132)",45,,18,8,3,2,,,1,13,,,
"Otras activ. serv.comun.soc y personales (133)",57,,,11,,12,,,,34,,,
"Hogares privados con servicio doméstico (134)",121,,,,,,,,,121,,,
"Actividad economica no especificada (136)",188,,,,1,,,,,,,187,
"Desocupado (137)",454,,,,,,,,,,,,454
,,,,,,,,,,,,,
"RURAL (138)",5584,2,57,33,21,170,1488,418,37,2682,,63,613
"Agric., ganadería, caza y silvicultura (139)",2731,,,1,,,1488,,,1242,,,
"Explotación de minas y canteras (141)",1647,,6,15,1,1,,343,6,1275,,,
"Industrias manufactureras (142)",67,,,1,,,,62,,4,,,
"Construcción (144)",114,,3,1,,,,1,17,92,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",151,,,,,131,,10,,10,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",9,,,,,1,,8,,,,,
"Comercio al por mayor (147)",9,,,,,9,,,,,,,
"Comercio al por menor (148)",133,,,,,121,,2,,10,,,
"Hoteles y restaurantes (149)",36,,,1,,28,,,,7,,,
"Trans., almac. y comunicaciones (150)",30,,,5,2,,,,12,11,,,
"Intermediación financiera (151)",10,,,,1,9,,,,,,,
"Activid.inmobil., empres. y alquileres (152)",19,,4,6,1,1,,,1,6,,,
