"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia NAZCA (000)",23355,362,6994,8772,6189,1038
"Agric., ganadería, caza y silvicultura (001)",3780,70,989,1291,1120,310
"Pesca (002)",289,,90,114,75,10
"Explotación de minas y canteras (003)",2710,5,749,1093,773,90
"Industrias manufactureras (004)",1102,21,371,348,299,63
"Suministro de electricidad, gas y agua (005)",71,1,10,30,28,2
"Construcción (006)",1667,13,608,623,373,50
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4458,147,1276,1580,1190,265
"Venta, mant.y rep. veh.autom.y motoc. (008)",590,16,220,185,144,25
"Comercio al por mayor (009)",229,5,84,94,38,8
"Comercio al por menor (010)",3639,126,972,1301,1008,232
"Hoteles y restaurantes (011)",1449,24,500,479,403,43
"Trans., almac. y comunicaciones (012)",2304,33,806,921,474,70
"Intermediación financiera (013)",117,,44,48,25,
"Activid.inmobil., empres. y alquileres (014)",1162,,389,469,286,18
"Admin.pub. y defensa; p. segur.soc.afil (015)",734,,189,331,197,17
"Enseñanza (016)",1058,,134,555,350,19
"Servicios sociales y de salud (017)",343,1,64,159,114,5
"Otras activ. serv.comun.soc y personales (018)",803,23,288,293,177,22
"Hogares privados con servicio doméstico (019)",538,13,253,163,98,11
"Organiz. y organos extraterritoriales (020)",1,,,,1,
"Actividad economica no especificada (021)",769,11,234,275,206,43
"Hombres (022)",15689,249,4724,5701,4235,780
"Agric., ganadería, caza y silvicultura (023)",2840,58,765,904,859,254
"Pesca (024)",274,,90,105,69,10
"Explotación de minas y canteras (025)",2563,4,689,1040,743,87
"Industrias manufactureras (026)",895,19,323,277,222,54
"Suministro de electricidad, gas y agua (027)",67,1,9,30,25,2
"Construcción (028)",1626,13,589,610,364,50
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2042,86,620,641,550,145
"Venta, mant.y rep. veh.autom.y motoc. (030)",534,12,196,163,140,23
"Comercio al por mayor (031)",136,4,52,51,24,5
"Comercio al por menor (032)",1372,70,372,427,386,117
"Hoteles y restaurantes (033)",411,8,143,114,125,21
"Trans., almac. y comunicaciones (034)",2091,31,705,845,442,68
"Intermediación financiera (035)",58,,16,24,18,
"Activid.inmobil., empres. y alquileres (036)",823,,245,338,223,17
"Admin.pub. y defensa; p. segur.soc.afil (037)",468,,103,206,145,14
"Enseñanza (038)",366,,41,169,145,11
"Servicios sociales y de salud (039)",122,,17,54,49,2
