"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MARAÑON (000)",6126,634,513,3732,117,1044,86
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",12,12,,,,,
"Profes., científicos e intelectuales (002)",450,427,,23,,,
"Técnicos de nivel medio y trab. asimilados (003)",59,48,,9,2,,
"Jefes y empleados de oficina (004)",68,67,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",166,10,2,129,3,22,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",3486,,,3377,109,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",60,,22,33,2,3,
"Obreros construc.,conf., papel, fab., instr. (008)",95,4,49,40,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",1493,20,410,29,,948,86
"Otra (010)",20,20,,,,,
"Ocupación no especificada (011)",217,26,30,92,1,68,
"Hombres (012)",5256,402,471,3423,114,808,38
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",10,10,,,,,
"Profes., científicos e intelectuales (014)",278,263,,15,,,
"Técnicos de nivel medio y trab. asimilados (015)",37,28,,7,2,,
"Jefes y empleados de oficina (016)",42,41,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",88,4,,77,1,6,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",3287,,,3178,109,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",57,,21,32,2,2,
"Obreros construc.,conf., papel, fab., instr. (020)",93,4,48,39,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1218,15,385,16,,764,38
"Otra (022)",20,20,,,,,
"Ocupación no especificada (023)",126,17,17,59,,33,
"Mujeres (024)",870,232,42,309,3,236,48
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,2,,,,,
"Profes., científicos e intelectuales (026)",172,164,,8,,,
"Técnicos de nivel medio y trab. asimilados (027)",22,20,,2,,,
"Jefes y empleados de oficina (028)",26,26,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",78,6,2,52,2,16,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",199,,,199,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",3,,1,1,,1,
"Obreros construc.,conf., papel, fab., instr. (032)",2,,1,1,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",275,5,25,13,,184,48
"Ocupación no especificada (035)",91,9,13,33,1,35,
,,,,,,,
"URBANA (036)",1202,439,91,489,6,142,35
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",12,12,,,,,
"Profes., científicos e intelectuales (038)",295,280,,15,,,
"Técnicos de nivel medio y trab. asimilados (039)",30,22,,8,,,
"Jefes y empleados de oficina (040)",55,55,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",119,7,,92,2,18,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",317,,,314,3,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",26,,4,21,1,,
"Obreros construc.,conf., papel, fab., instr. (044)",48,4,31,11,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",229,17,44,18,,115,35
"Otra (046)",20,20,,,,,
"Ocupación no especificada (047)",51,22,12,10,,7,
"Hombres (048)",847,272,84,396,5,88,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",10,10,,,,,
"Profes., científicos e intelectuales (050)",173,163,,10,,,
"Técnicos de nivel medio y trab. asimilados (051)",20,14,,6,,,
"Jefes y empleados de oficina (052)",32,32,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",59,3,,50,1,5,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",290,,,287,3,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",25,,4,20,1,,
"Obreros construc.,conf., papel, fab., instr. (056)",47,4,30,11,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",140,12,41,9,,76,2
"Otra (058)",20,20,,,,,
"Ocupación no especificada (059)",31,14,9,3,,5,
"Mujeres (060)",355,167,7,93,1,54,33
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",122,117,,5,,,
"Técnicos de nivel medio y trab. asimilados (063)",10,8,,2,,,
"Jefes y empleados de oficina (064)",23,23,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",60,4,,42,1,13,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",27,,,27,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",1,,,1,,,
"Obreros construc.,conf., papel, fab., instr. (068)",1,,1,,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",89,5,3,9,,39,33
"Ocupación no especificada (071)",20,8,3,7,,2,
,,,,,,,
"RURAL (072)",4924,195,422,3243,111,902,51
"Profes., científicos e intelectuales (074)",155,147,,8,,,
"Técnicos de nivel medio y trab. asimilados (075)",29,26,,1,2,,
"Jefes y empleados de oficina (076)",13,12,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",47,3,2,37,1,4,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3169,,,3063,106,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",34,,18,12,1,3,
"Obreros construc.,conf., papel, fab., instr. (080)",47,,18,29,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",1264,3,366,11,,833,51
"Ocupación no especificada (083)",166,4,18,82,1,61,
"Hombres (084)",4409,130,387,3027,109,720,36
"Profes., científicos e intelectuales (086)",105,100,,5,,,
"Técnicos de nivel medio y trab. asimilados (087)",17,14,,1,2,,
"Jefes y empleados de oficina (088)",10,9,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",29,1,,27,,1,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",2997,,,2891,106,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",32,,17,12,1,2,
"Obreros construc.,conf., papel, fab., instr. (092)",46,,18,28,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1078,3,344,7,,688,36
"Ocupación no especificada (095)",95,3,8,56,,28,
"Mujeres (096)",515,65,35,216,2,182,15
"Profes., científicos e intelectuales (098)",50,47,,3,,,
"Técnicos de nivel medio y trab. asimilados (099)",12,12,,,,,
"Jefes y empleados de oficina (100)",3,3,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",18,2,2,10,1,3,
"Agricult.trabaj. calif.agrop. y pesqueros (102)",172,,,172,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (103)",2,,1,,,1,
"Obreros construc.,conf., papel, fab., instr. (104)",1,,,1,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (105)",186,,22,4,,145,15
"Ocupación no especificada (107)",71,1,10,26,1,33,
