"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",13540,15,1113,170,199,914,4096,364,438,4096,23,741,1371
"Agric., ganadería, caza y silvicultura (001)",7342,,12,2,,,4093,,3,3232,,,
"Pesca (002)",3,,,,,,3,,,,,,
"Explotación de minas y canteras (003)",169,,6,3,4,,,105,5,46,,,
"Industrias manufactureras (004)",201,,4,3,3,,,181,10,,,,
"Suministro de electricidad, gas y agua (005)",11,,2,1,3,,,1,1,3,,,
"Construcción (006)",304,,7,5,3,,,6,167,116,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1104,,,14,,758,,70,2,260,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",70,,,4,,7,,56,2,1,,,
"Comercio al por mayor (009)",22,,,,,22,,,,,,,
"Comercio al por menor (010)",1012,,,10,,729,,14,,259,,,
"Hoteles y restaurantes (011)",254,,1,6,,126,,,,121,,,
"Trans., almac. y comunicaciones (012)",278,,1,1,6,,,,239,31,,,
"Intermediación financiera (013)",3,,1,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",180,,66,35,53,10,,1,2,13,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",220,11,20,7,93,10,,,7,49,23,,
"Enseñanza (016)",943,4,910,2,15,,,,,12,,,
"Servicios sociales y de salud (017)",142,,70,54,6,,,,1,11,,,
"Otras activ. serv.comun.soc y personales (018)",99,,13,37,4,9,,,1,35,,,
"Hogares privados con servicio doméstico (019)",168,,,,,1,,,,167,,,
"Actividad economica no especificada (021)",748,,,,7,,,,,,,741,
"Desocupado (022)",1371,,,,,,,,,,,,1371
"Hombres (023)",10023,13,692,117,121,409,3639,314,427,2892,22,371,1006
"Agric., ganadería, caza y silvicultura (024)",6101,,12,1,,,3636,,3,2449,,,
"Pesca (025)",3,,,,,,3,,,,,,
"Explotación de minas y canteras (026)",167,,6,3,4,,,103,5,46,,,
"Industrias manufactureras (027)",148,,4,2,1,,,134,7,,,,
"Suministro de electricidad, gas y agua (028)",11,,2,1,3,,,1,1,3,,,
"Construcción (029)",298,,7,5,3,,,6,165,112,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",572,,,10,,350,,69,2,141,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",66,,,3,,5,,55,2,1,,,
"Comercio al por mayor (032)",14,,,,,14,,,,,,,
"Comercio al por menor (033)",492,,,7,,331,,14,,140,,,
"Hoteles y restaurantes (034)",78,,1,4,,37,,,,36,,,
"Trans., almac. y comunicaciones (035)",268,,1,1,5,,,,233,28,,,
"Intermediación financiera (036)",1,,1,,,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",136,,55,30,32,10,,1,2,6,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",158,9,16,6,54,10,,,7,34,22,,
"Enseñanza (039)",565,4,540,1,12,,,,,8,,,
"Servicios sociales y de salud (040)",62,,34,21,2,,,,1,4,,,
"Otras activ. serv.comun.soc y personales (041)",59,,13,32,3,2,,,1,8,,,
"Hogares privados con servicio doméstico (042)",17,,,,,,,,,17,,,
"Actividad economica no especificada (044)",373,,,,2,,,,,,,371,
"Desocupado (045)",1006,,,,,,,,,,,,1006
"Mujeres (046)",3517,2,421,53,78,505,457,50,11,1204,1,370,365
"Agric., ganadería, caza y silvicultura (047)",1241,,,1,,,457,,,783,,,
"Explotación de minas y canteras (049)",2,,,,,,,2,,,,,
"Industrias manufactureras (050)",53,,,1,2,,,47,3,,,,
"Construcción (052)",6,,,,,,,,2,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",532,,,4,,408,,1,,119,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,,,1,,2,,1,,,,,
"Comercio al por mayor (055)",8,,,,,8,,,,,,,
"Comercio al por menor (056)",520,,,3,,398,,,,119,,,
"Hoteles y restaurantes (057)",176,,,2,,89,,,,85,,,
"Trans., almac. y comunicaciones (058)",10,,,,1,,,,6,3,,,
"Intermediación financiera (059)",2,,,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",44,,11,5,21,,,,,7,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",62,2,4,1,39,,,,,15,1,,
"Enseñanza (062)",378,,370,1,3,,,,,4,,,
"Servicios sociales y de salud (063)",80,,36,33,4,,,,,7,,,
"Otras activ. serv.comun.soc y personales (064)",40,,,5,1,7,,,,27,,,
"Hogares privados con servicio doméstico (065)",151,,,,,1,,,,150,,,
"Actividad economica no especificada (067)",375,,,,5,,,,,,,370,
"Desocupado (068)",365,,,,,,,,,,,,365
,,,,,,,,,,,,,
"URBANA (069)",8470,14,936,140,166,778,1916,304,343,2644,23,492,714
"Agric., ganadería, caza y silvicultura (070)",3857,,8,1,,,1915,,2,1931,,,
"Pesca (071)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (072)",139,,6,3,3,,,81,5,41,,,
"Industrias manufactureras (073)",175,,2,3,3,,,158,9,,,,
"Suministro de electricidad, gas y agua (074)",7,,1,,2,,,1,1,2,,,
"Construcción (075)",248,,6,5,3,,,5,128,101,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",923,,,12,,645,,59,2,205,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",60,,,4,,6,,47,2,1,,,
"Comercio al por mayor (078)",20,,,,,20,,,,,,,
"Comercio al por menor (079)",843,,,8,,619,,12,,204,,,
"Hoteles y restaurantes (080)",220,,1,6,,107,,,,106,,,
"Trans., almac. y comunicaciones (081)",214,,1,1,5,,,,189,18,,,
"Intermediación financiera (082)",1,,1,,,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",160,,62,31,45,9,,,1,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",186,10,17,6,79,9,,,5,37,23,,
"Enseñanza (085)",791,4,765,2,12,,,,,8,,,
"Servicios sociales y de salud (086)",108,,55,39,5,,,,,9,,,
"Otras activ. serv.comun.soc y personales (087)",82,,11,31,4,7,,,1,28,,,
"Hogares privados con servicio doméstico (088)",147,,,,,1,,,,146,,,
"Actividad economica no especificada (090)",497,,,,5,,,,,,,492,
"Desocupado (091)",714,,,,,,,,,,,,714
"Hombres (092)",6054,12,581,96,99,333,1675,261,333,1878,22,250,514
"Agric., ganadería, caza y silvicultura (093)",3207,,8,,,,1674,,2,1523,,,
"Pesca (094)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (095)",138,,6,3,3,,,80,5,41,,,
"Industrias manufactureras (096)",127,,2,2,1,,,116,6,,,,
"Suministro de electricidad, gas y agua (097)",7,,1,,2,,,1,1,2,,,
"Construcción (098)",243,,6,5,3,,,5,127,97,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",460,,,8,,280,,59,2,111,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",57,,,3,,4,,47,2,1,,,
"Comercio al por mayor (101)",12,,,,,12,,,,,,,
"Comercio al por menor (102)",391,,,5,,264,,12,,110,,,
"Hoteles y restaurantes (103)",70,,1,4,,33,,,,32,,,
"Trans., almac. y comunicaciones (104)",205,,1,1,4,,,,183,16,,,
"Intermediación financiera (105)",1,,1,,,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",119,,51,27,26,9,,,1,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",130,8,14,5,44,9,,,5,23,22,,
"Enseñanza (108)",473,4,451,1,10,,,,,7,,,
"Servicios sociales y de salud (109)",46,,28,13,2,,,,,3,,,
"Otras activ. serv.comun.soc y personales (110)",50,,11,27,3,2,,,1,6,,,
"Hogares privados con servicio doméstico (111)",12,,,,,,,,,12,,,
"Actividad economica no especificada (113)",251,,,,1,,,,,,,250,
"Desocupado (114)",514,,,,,,,,,,,,514
"Mujeres (115)",2416,2,355,44,67,445,241,43,10,766,1,242,200
"Agric., ganadería, caza y silvicultura (116)",650,,,1,,,241,,,408,,,
"Explotación de minas y canteras (118)",1,,,,,,,1,,,,,
"Industrias manufactureras (119)",48,,,1,2,,,42,3,,,,
"Construcción (121)",5,,,,,,,,1,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",463,,,4,,365,,,,94,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",3,,,1,,2,,,,,,,
"Comercio al por mayor (124)",8,,,,,8,,,,,,,
"Comercio al por menor (125)",452,,,3,,355,,,,94,,,
"Hoteles y restaurantes (126)",150,,,2,,74,,,,74,,,
"Trans., almac. y comunicaciones (127)",9,,,,1,,,,6,2,,,
"Activid.inmobil., empres. y alquileres (129)",41,,11,4,19,,,,,7,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",56,2,3,1,35,,,,,14,1,,
"Enseñanza (131)",318,,314,1,2,,,,,1,,,
"Servicios sociales y de salud (132)",62,,27,26,3,,,,,6,,,
"Otras activ. serv.comun.soc y personales (133)",32,,,4,1,5,,,,22,,,
"Hogares privados con servicio doméstico (134)",135,,,,,1,,,,134,,,
"Actividad economica no especificada (136)",246,,,,4,,,,,,,242,
"Desocupado (137)",200,,,,,,,,,,,,200
,,,,,,,,,,,,,
"RURAL (138)",5070,1,177,30,33,136,2180,60,95,1452,,249,657
"Agric., ganadería, caza y silvicultura (139)",3485,,4,1,,,2178,,1,1301,,,
"Pesca (140)",2,,,,,,2,,,,,,
"Explotación de minas y canteras (141)",30,,,,1,,,24,,5,,,
"Industrias manufactureras (142)",26,,2,,,,,23,1,,,,
"Suministro de electricidad, gas y agua (143)",4,,1,1,1,,,,,1,,,
"Construcción (144)",56,,1,,,,,1,39,15,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",181,,,2,,113,,11,,55,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",10,,,,,1,,9,,,,,
"Comercio al por mayor (147)",2,,,,,2,,,,,,,
"Comercio al por menor (148)",169,,,2,,110,,2,,55,,,
"Hoteles y restaurantes (149)",34,,,,,19,,,,15,,,
"Trans., almac. y comunicaciones (150)",64,,,,1,,,,50,13,,,
"Intermediación financiera (151)",2,,,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (152)",20,,4,4,8,1,,1,1,1,,,
