"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CONCEPCION (000)",16319,161,502,1166,1936,3275,5610,3669
"De 12 a 14 años (001)",30,,,,,,4,26
"De 15 a 19 años (002)",366,,,,,,220,146
"De 20 a 24 años (003)",1495,,,,,5,918,572
"De 25 a 29 años (004)",1816,,,,,71,1241,504
"De 30 a 34 años (005)",1849,,,,,288,1212,349
"De 35 a 39 años (006)",1887,,,,11,525,1026,325
"De 40 a 44 años (007)",1691,,,,80,702,626,283
"De 45 a 49 años (008)",1413,,,5,189,728,297,194
"De 50 y más años (009)",5772,161,502,1161,1656,956,66,1270
"Conviviente (010)",4599,7,15,39,160,764,2676,938
"De 12 a 14 años (011)",20,,,,,,2,18
"De 15 a 19 años (012)",197,,,,,,111,86
"De 20 a 24 años (013)",780,,,,,2,560,218
"De 25 a 29 años (014)",970,,,,,41,736,193
"De 30 a 34 años (015)",841,,,,,128,580,133
"De 35 a 39 años (016)",635,,,,1,160,384,90
"De 40 a 44 años (017)",464,,,,20,172,216,56
"De 45 a 49 años (018)",298,,,,24,149,80,45
"De 50 y más años (019)",394,7,15,39,115,112,7,99
"Separado(a) (020)",1044,4,20,72,147,236,345,220
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",41,,,,,,26,15
"De 20 a 24 años (023)",104,,,,,1,80,23
"De 25 a 29 años (024)",102,,,,,8,74,20
"De 30 a 34 años (025)",110,,,,,21,71,18
"De 35 a 39 años (026)",127,,,,,47,49,31
"De 40 a 44 años (027)",136,,,,10,66,32,28
"De 45 a 49 años (028)",99,,,,20,52,9,18
"De 50 y más años (029)",324,4,20,72,117,41,4,66
"Casado(a) (030)",6815,35,190,594,1139,1820,2002,1035
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",26,,,,,,9,17
"De 20 a 24 años (033)",174,,,,,,129,45
"De 25 a 29 años (034)",377,,,,,8,301,68
"De 30 a 34 años (035)",639,,,,,92,464,83
"De 35 a 39 años (036)",881,,,,6,252,523,100
"De 40 a 44 años (037)",858,,,,37,374,339,108
"De 45 a 49 años (038)",798,,,4,98,431,189,76
"De 50 y más años (039)",3059,35,190,590,998,663,48,535
"Viudo(a) (040)",1881,103,240,388,371,232,88,459
"De 15 a 19 años (042)",2,,,,,,1,1
"De 20 a 24 años (043)",11,,,,,,8,3
"De 25 a 29 años (044)",9,,,,,,8,1
"De 30 a 34 años (045)",30,,,,,8,14,8
"De 35 a 39 años (046)",48,,,,,20,19,9
"De 40 a 44 años (047)",71,,,,1,34,19,17
"De 45 a 49 años (048)",112,,,,23,61,13,15
"De 50 y más años (049)",1598,103,240,388,347,109,6,405
