"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MELGAR (000)",73335,34840,38495
"Casa independiente (001)",57603,31858,25745
"Departamento en edificio (002)",7,7,
"Vivienda en quinta (003)",39,39,
"Vivienda en casa de vecindad (004)",2856,2856,
"Choza o cabaña (005)",12721,,12721
"Vivienda improvisada (006)",21,21,
"Local no dest.para hab. humana (007)",69,52,17
"Otro tipo (008)",19,7,12
