"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LUYA (000)",16418,52593,45224,,919,86,1.7
"De 12 a 14 años (001)",1825,10,10,,2,100,20
"De 15 a 19 años (002)",2052,436,424,123,97.2,28.2,
"De 20 a 24 años (003)",1573,1906,1852,231,97.2,12.1,
"De 25 a 29 años (004)",1592,3268,3175,207,97.2,6.3,
"De 30 a 34 años (005)",1379,4160,3985,156,95.8,3.8,
"De 35 a 39 años (006)",1384,5302,4990,133,94.1,2.5,
"De 40 a 44 años (007)",1200,5730,5263,55,91.8,1,
"De 45 a 49 años (008)",1015,5497,4965,12,90.3,0.2,
"De 50 y más años (009)",4398,26284,20560,,78.2,,
"PEA (010)",3099,9874,8699,150,88.1,1.5,
"De 12 a 14 años (011)",50,2,2,,100,,
"De 15 a 19 años (012)",203,46,45,10,97.8,21.7,
"De 20 a 24 años (013)",331,311,305,36,98.1,11.6,
"De 25 a 29 años (014)",380,585,573,41,97.9,7,
"De 30 a 34 años (015)",366,806,788,25,97.8,3.1,
"De 35 a 39 años (016)",415,1319,1265,27,95.9,2,
"De 40 a 44 años (017)",340,1294,1181,9,91.3,0.7,
"De 45 a 49 años (018)",269,1260,1156,2,91.7,0.2,
"De 50 y más años (019)",745,4251,3384,,79.6,,
"Ocupada (020)",3050,9789,8621,149,88.1,1.5,
"De 12 a 14 años (021)",46,2,2,,100,,
"De 15 a 19 años (022)",191,45,44,10,97.8,22.2,
"De 20 a 24 años (023)",318,301,295,36,98,12,
"De 25 a 29 años (024)",375,583,571,41,97.9,7,
"De 30 a 34 años (025)",363,801,783,25,97.8,3.1,
"De 35 a 39 años (026)",413,1311,1257,26,95.9,2,
"De 40 a 44 años (027)",336,1269,1160,9,91.4,0.7,
"De 45 a 49 años (028)",268,1256,1152,2,91.7,0.2,
"De 50 y más años (029)",740,4221,3357,,79.5,,
"Desocupada (030)",49,85,78,1,91.8,1.2,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",12,1,1,,100,,
"De 20 a 24 años (033)",13,10,10,,100,,
"De 25 a 29 años (034)",5,2,2,,100,,
"De 30 a 34 años (035)",3,5,5,,100,,
"De 35 a 39 años (036)",2,8,8,1,100,12.5,
"De 40 a 44 años (037)",4,25,21,,84,,
