"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANCHEZ CARRION (000)",112762,34611,33389,21851,15653,7258
"Sin nivel (001)",31874,4758,6154,7884,7958,5120
"Educación inicial (002)",2834,2651,134,49,,
"Primaria (003)",58161,24464,16070,9837,5943,1847
"Secundaria (004)",12847,2738,7795,1514,685,115
"Superior no univ. incompleta (005)",1463,,941,342,151,29
"Superior no univ. completa (006)",2738,,1059,1221,403,55
"Superior univ. incompleta (007)",1117,,775,221,101,20
"Superior univ. completa (008)",1728,,461,783,412,72
"PEA (010)",37151,1218,14116,11582,7768,2467
"Sin nivel (011)",8831,254,1942,2702,2592,1341
"Educación inicial (012)",93,11,59,23,,
"Primaria (013)",19120,825,7792,5679,3810,1014
"Secundaria (014)",4477,128,2746,1050,509,44
"Superior no univ. incompleta (015)",687,,306,250,117,14
"Superior no univ. completa (016)",2055,,702,1020,318,15
"Superior univ. incompleta (017)",492,,213,177,86,16
"Superior univ. completa (018)",1396,,356,681,336,23
"Ocupada (020)",35416,1116,13131,11160,7583,2426
"Sin nivel (021)",8583,224,1857,2624,2549,1329
"Educación inicial (022)",86,9,54,23,,
"Primaria (023)",18246,766,7333,5454,3705,988
"Secundaria (024)",4104,117,2452,1000,492,43
"Superior no univ. incompleta (025)",651,,284,240,113,14
"Superior no univ. completa (026)",1946,,630,988,313,15
"Superior univ. incompleta (027)",448,,185,167,82,14
"Superior univ. completa (028)",1352,,336,664,329,23
