"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SUCRE (000)",4666,17378,14604,,198,84,1.1
"De 12 a 14 años (001)",507,7,5,,,71.4,
"De 15 a 19 años (002)",499,127,123,29,96.9,22.8,
"De 20 a 24 años (003)",341,404,392,36,97,8.9,
"De 25 a 29 años (004)",373,735,709,43,96.5,5.9,
"De 30 a 34 años (005)",365,1101,1039,37,94.4,3.4,
"De 35 a 39 años (006)",356,1407,1319,33,93.7,2.3,
"De 40 a 44 años (007)",372,1859,1673,16,90,0.9,
"De 45 a 49 años (008)",280,1443,1312,4,90.9,0.3,
"De 50 y más años (009)",1573,10295,8032,,78,,
"Conviviente (010)",795,2104,1949,87,92.6,4.1,
"De 12 a 14 años (011)",11,2,2,,100,,
"De 15 a 19 años (012)",81,62,61,16,98.4,25.8,
"De 20 a 24 años (013)",180,263,258,21,98.1,8,
"De 25 a 29 años (014)",188,388,374,25,96.4,6.4,
"De 30 a 34 años (015)",106,315,301,13,95.6,4.1,
"De 35 a 39 años (016)",66,256,243,9,94.9,3.5,
"De 40 a 44 años (017)",54,231,211,2,91.3,0.9,
"De 45 a 49 años (018)",36,155,144,1,92.9,0.6,
"De 50 y más años (019)",73,432,355,,82.2,,
"Separado(a) (020)",130,407,371,11,91.2,2.7,
"De 15 a 19 años (022)",7,5,5,3,100,60,
"De 20 a 24 años (023)",16,19,19,3,100,15.8,
"De 25 a 29 años (024)",10,16,16,4,100,25,
"De 30 a 34 años (025)",14,32,31,1,96.9,3.1,
"De 35 a 39 años (026)",10,30,30,,100,,
"De 40 a 44 años (027)",17,58,55,,94.8,,
"De 45 a 49 años (028)",10,33,33,,100,,
"De 50 y más años (029)",46,214,182,,85,,
"Casado(a) (030)",1937,10650,9095,83,85.4,0.8,
"De 12 a 14 años (031)",2,1,1,,100,,
"De 15 a 19 años (032)",13,18,15,2,83.3,11.1,
"De 20 a 24 años (033)",43,87,83,7,95.4,8,
"De 25 a 29 años (034)",117,289,277,13,95.8,4.5,
"De 30 a 34 años (035)",206,712,666,23,93.5,3.2,
"De 35 a 39 años (036)",239,1054,983,22,93.3,2.1,
"De 40 a 44 años (037)",255,1431,1290,13,90.1,0.9,
"De 45 a 49 años (038)",194,1080,981,3,90.8,0.3,
"De 50 y más años (039)",868,5978,4799,,80.3,,
