"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia FERREÑAFE (000)",25335,13251,12084
"Casa independiente (001)",24600,12748,11852
"Departamento en edificio (002)",63,63,
"Vivienda en quinta (003)",56,56,
"Vivienda en casa de vecindad (004)",84,84,
"Choza o cabaña (005)",229,,229
"Vivienda improvisada (006)",294,294,
"Local no dest.para hab. humana (007)",9,6,3
