"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OXAPAMPA (000)",19107,18459,66,4042,3953,2788,3715,2177,1181,537,648,66506
"De 12 a 14 años (001)",40,20,2,17,1,,,,,,20,19
"De 15 a 19 años (002)",999,909,12,742,135,16,4,,,,90,1076
"De 20 a 24 años (003)",2497,2326,7,1237,727,246,94,15,,,171,3917
"De 25 a 29 años (004)",2770,2595,6,814,928,454,332,51,10,,175,5858
"De 30 a 34 años (005)",2556,2493,5,443,739,548,537,179,32,10,63,7419
"De 35 a 39 años (006)",2522,2485,5,284,545,491,711,324,98,27,37,9145
"De 40 a 44 años (007)",1997,1973,1,155,338,367,585,342,140,45,24,8365
"De 45 a 49 años (008)",1620,1604,4,109,204,247,458,313,193,76,16,7729
"De 50 y más años (009)",4106,4054,24,241,336,419,994,953,708,379,52,22978
"Conviviente (010)",9534,9350,26,2408,2241,1486,1749,878,384,178,184,29838
"De 12 a 14 años (011)",28,10,1,9,,,,,,,18,9
"De 15 a 19 años (012)",730,656,4,526,109,14,3,,,,74,798
"De 20 a 24 años (013)",1734,1700,4,853,550,211,71,11,,,34,2953
"De 25 a 29 años (014)",1852,1821,3,518,659,349,245,39,8,,31,4244
"De 30 a 34 años (015)",1551,1545,3,223,437,359,360,134,24,5,6,4858
"De 35 a 39 años (016)",1357,1352,3,127,265,256,417,202,68,14,5,5275
"De 40 a 44 años (017)",851,847,1,64,107,145,280,166,58,26,4,3781
"De 45 a 49 años (018)",580,577,,38,54,78,165,135,72,35,3,2984
"De 50 y más años (019)",851,842,7,50,60,74,208,191,154,98,9,4936
"Separado(a) (020)",1170,1150,1,351,254,157,209,102,59,17,20,3561
"De 12 a 14 años (021)",4,3,,2,1,,,,,,1,4
"De 15 a 19 años (022)",67,60,,55,5,,,,,,7,65
