"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUACAYBAMBA (000)",6654,23064,19346,,455,83.9,2
"De 12 a 14 años (001)",852,6,6,,1,100,16.7
"De 15 a 19 años (002)",910,155,150,42,96.8,27.1,
"De 20 a 24 años (003)",627,805,780,100,96.9,12.4,
"De 25 a 29 años (004)",590,1369,1300,94,95,6.9,
"De 30 a 34 años (005)",662,2380,2225,91,93.5,3.8,
"De 35 a 39 años (006)",620,2942,2675,85,90.9,2.9,
"De 40 a 44 años (007)",488,2830,2509,34,88.7,1.2,
"De 45 a 49 años (008)",367,2452,2115,8,86.3,0.3,
"De 50 y más años (009)",1538,10125,7586,,74.9,,
"Sin nivel (010)",1974,11380,8838,105,77.7,0.9,
"De 12 a 14 años (011)",10,,,,,,
"De 15 a 19 años (012)",30,12,12,3,100,25,
"De 20 a 24 años (013)",68,107,102,15,95.3,14,
"De 25 a 29 años (014)",100,246,227,17,92.3,6.9,
"De 30 a 34 años (015)",135,537,499,22,92.9,4.1,
"De 35 a 39 años (016)",200,1023,897,27,87.7,2.6,
"De 40 a 44 años (017)",166,1090,942,16,86.4,1.5,
"De 45 a 49 años (018)",159,1099,917,5,83.4,0.5,
"De 50 y más años (019)",1106,7266,5242,,72.1,,
"Educacion Inicial (020)",10,24,24,,100,,
"De 12 a 14 años (021)",2,,,,,,
"De 15 a 19 años (022)",3,,,,,,
"De 25 a 29 años (024)",1,5,5,,100,,
"De 30 a 34 años (025)",2,11,11,,100,,
"De 35 a 39 años (026)",2,8,8,,100,,
"Primaria (030)",2906,9364,8272,227,88.3,2.4,
"De 12 a 14 años (031)",570,5,5,1,100,20,
"De 15 a 19 años (032)",341,90,87,23,96.7,25.6,
"De 20 a 24 años (033)",303,473,457,49,96.6,10.4,
"De 25 a 29 años (034)",280,756,712,48,94.2,6.3,
"De 30 a 34 años (035)",343,1324,1232,47,93.1,3.5,
"De 35 a 39 años (036)",267,1394,1270,40,91.1,2.9,
"De 40 a 44 años (037)",248,1480,1315,16,88.9,1.1,
"De 45 a 49 años (038)",174,1213,1065,3,87.8,0.2,
"De 50 y más años (039)",380,2629,2129,,81,,
"Secundaria (040)",1486,1760,1690,105,96,6,
"De 12 a 14 años (041)",270,1,1,,100,,
