"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYMARAES (000)",9224,6324,1366,391,1143
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",68,,2,4,62
"Profes., científicos e intelectuales (002)",649,178,198,84,189
"Técnicos de nivel medio y trab. asimilados (003)",171,51,16,17,87
"Jefes y empleados de oficina (004)",184,25,18,24,117
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",561,517,27,5,12
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2869,2436,433,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",559,172,38,66,283
"Obreros construc.,conf.,papel, fab., instr. (008)",481,254,58,56,113
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3469,2548,558,132,231
"Otra (010)",43,,,,43
"Ocupación no especificada (011)",170,143,18,3,6
"Hombres (012)",7025,4670,1076,319,960
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",58,,2,4,52
"Profes., científicos e intelectuales (014)",397,88,121,57,131
"Técnicos de nivel medio y trab. asimilados (015)",119,34,14,12,59
"Jefes y empleados de oficina (016)",118,14,12,12,80
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",194,168,12,4,10
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2403,2021,382,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",524,143,35,66,280
"Obreros construc.,conf.,papel, fab., instr. (020)",476,251,58,56,111
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2639,1909,433,108,189
"Otra (022)",43,,,,43
"Ocupación no especificada (023)",54,42,7,,5
"Mujeres (024)",2199,1654,290,72,183
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",10,,,,10
"Profes., científicos e intelectuales (026)",252,90,77,27,58
"Técnicos de nivel medio y trab. asimilados (027)",52,17,2,5,28
"Jefes y empleados de oficina (028)",66,11,6,12,37
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",367,349,15,1,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",466,415,51,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",35,29,3,,3
"Obreros construc.,conf.,papel, fab., instr. (032)",5,3,,,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",830,639,125,24,42
