"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TUMBES (000)",133459,6103,13479,14145,14161,26135,21644,30425,7367
"Sabe leer y escribir (001)",121202,,10741,13991,14036,25838,21259,29227,6110
"No sabe leer y escribir (002)",12257,6103,2738,154,125,297,385,1198,1257
"Hombres (004)",68492,3132,6839,7243,7438,13176,10831,15955,3878
"Sabe leer y escribir (005)",62422,,5414,7155,7362,13008,10658,15496,3329
"No sabe leer y escribir (006)",6070,3132,1425,88,76,168,173,459,549
"Mujeres (008)",64967,2971,6640,6902,6723,12959,10813,14470,3489
"Sabe leer y escribir (009)",58780,,5327,6836,6674,12830,10601,13731,2781
"No sabe leer y escribir (010)",6187,2971,1313,66,49,129,212,739,708
,,,,,,,,,
"URBANA (012)",122893,5668,12496,13055,13041,24098,20011,28009,6515
"Sabe leer y escribir (013)",111933,,10009,12918,12924,23840,19677,27046,5519
"No sabe leer y escribir (014)",10960,5668,2487,137,117,258,334,963,996
"Hombres (016)",62960,2904,6344,6705,6876,12108,9978,14672,3373
"Sabe leer y escribir (017)",57554,,5048,6626,6804,11965,9826,14322,2963
"No sabe leer y escribir (018)",5406,2904,1296,79,72,143,152,350,410
"Mujeres (020)",59933,2764,6152,6350,6165,11990,10033,13337,3142
"Sabe leer y escribir (021)",54379,,4961,6292,6120,11875,9851,12724,2556
"No sabe leer y escribir (022)",5554,2764,1191,58,45,115,182,613,586
,,,,,,,,,
"RURAL (024)",10566,435,983,1090,1120,2037,1633,2416,852
"Sabe leer y escribir (025)",9269,,732,1073,1112,1998,1582,2181,591
"No sabe leer y escribir (026)",1297,435,251,17,8,39,51,235,261
"Hombres (028)",5532,228,495,538,562,1068,853,1283,505
"Sabe leer y escribir (029)",4868,,366,529,558,1043,832,1174,366
"No sabe leer y escribir (030)",664,228,129,9,4,25,21,109,139
"Mujeres (032)",5034,207,488,552,558,969,780,1133,347
"Sabe leer y escribir (033)",4401,,366,544,554,955,750,1007,225
"No sabe leer y escribir (034)",633,207,122,8,4,14,30,126,122
