"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAULI (000)",17621,16958,5042,2710,2853,2048,2405,1097,516,287,663,39706
"De 12 a 14 años (001)",1680,1665,1659,4,2,,,,,,15,8
"De 15 a 19 años (002)",2110,2089,1855,207,25,1,1,,,,21,264
"De 20 a 24 años (003)",2053,1826,692,752,300,61,19,2,,,227,1630
"De 25 a 29 años (004)",1990,1805,307,659,549,188,93,8,1,,185,2777
"De 30 a 34 años (005)",1942,1843,173,399,596,377,250,42,5,1,99,4125
"De 35 a 39 años (006)",1805,1766,96,248,502,417,387,95,16,5,39,4984
"De 40 a 44 años (007)",1620,1593,75,139,362,377,439,142,46,13,27,5345
"De 45 a 49 años (008)",1261,1243,54,110,207,258,369,166,63,16,18,4673
"De 50 y más años (009)",3160,3128,131,192,310,369,847,642,385,252,32,15900
"Sin nivel (010)",1052,1033,73,57,107,89,274,189,134,110,19,5370
"De 12 a 14 años (011)",9,9,9,,,,,,,,,
"De 15 a 19 años (012)",16,16,15,1,,,,,,,,1
"De 20 a 24 años (013)",20,18,6,6,4,,1,1,,,2,25
"De 25 a 29 años (014)",12,10,1,2,2,1,4,,,,2,26
"De 30 a 34 años (015)",69,66,6,10,23,8,17,2,,,3,166
"De 35 a 39 años (016)",62,59,3,4,14,8,22,7,1,,3,205
"De 40 a 44 años (017)",68,66,3,4,11,8,21,13,4,2,2,285
"De 45 a 49 años (018)",75,75,4,4,5,8,22,18,9,5,,381
"De 50 y más años (019)",721,714,26,26,48,56,187,148,120,103,7,4281
"Educacion Inicial (020)",16,13,7,1,1,2,2,,,,3,19
"De 12 a 14 años (021)",7,7,7,,,,,,,,,
"De 20 a 24 años (023)",2,1,,,,1,,,,,1,3
