"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ZARUMILLA (000)",39616,35909,3707
"Casa independiente (001)",38457,34775,3682
"Departamento en edificio (002)",203,203,
"Vivienda en quinta (003)",519,519,
"Vivienda en casa de vecindad (004)",110,110,
"Choza o cabaña (005)",18,,18
"Vivienda improvisada (006)",136,136,
"Local no dest.para hab. humana (007)",102,95,7
"Otro tipo (008)",71,71,
