"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUAYLAS (000)",16097,333,4968,5508,4049,1239
"Agric., ganadería, caza y silvicultura (001)",8892,270,2817,2749,2156,900
"Explotación de minas y canteras (003)",245,3,103,79,55,5
"Industrias manufactureras (004)",513,5,169,171,128,40
"Suministro de electricidad, gas y agua (005)",73,,11,39,21,2
"Construcción (006)",836,7,247,327,227,28
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1661,22,405,567,518,149
"Venta, mant.y rep. veh.autom.y motoc. (008)",140,,58,53,20,9
"Comercio al por mayor (009)",88,1,34,31,18,4
"Comercio al por menor (010)",1433,21,313,483,480,136
"Hoteles y restaurantes (011)",522,13,178,166,141,24
"Trans., almac. y comunicaciones (012)",677,3,309,253,103,9
"Intermediación financiera (013)",36,,15,15,6,
"Activid.inmobil., empres. y alquileres (014)",288,2,95,121,65,5
"Admin.pub. y defensa; p. segur.soc.afil (015)",605,,168,263,163,11
"Enseñanza (016)",834,,120,464,243,7
"Servicios sociales y de salud (017)",212,,57,102,53,
"Otras activ. serv.comun.soc y personales (018)",215,3,70,67,59,16
"Hogares privados con servicio doméstico (019)",215,4,111,55,35,10
"Actividad economica no especificada (021)",273,1,93,70,76,33
"Hombres (022)",11691,224,3610,3967,2921,969
"Agric., ganadería, caza y silvicultura (023)",7297,181,2236,2292,1820,768
"Explotación de minas y canteras (025)",234,3,97,77,52,5
"Industrias manufactureras (026)",424,5,140,138,105,36
"Suministro de electricidad, gas y agua (027)",69,,9,38,20,2
"Construcción (028)",814,7,237,319,223,28
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",758,19,220,251,195,73
"Venta, mant.y rep. veh.autom.y motoc. (030)",131,,54,52,17,8
"Comercio al por mayor (031)",57,1,21,22,10,3
"Comercio al por menor (032)",570,18,145,177,168,62
"Hoteles y restaurantes (033)",126,,56,31,31,8
"Trans., almac. y comunicaciones (034)",643,3,287,247,98,8
"Intermediación financiera (035)",17,,4,8,5,
"Activid.inmobil., empres. y alquileres (036)",232,2,72,97,56,5
"Admin.pub. y defensa; p. segur.soc.afil (037)",426,,115,188,114,9
"Enseñanza (038)",362,,43,188,127,4
"Servicios sociales y de salud (039)",82,,19,39,24,
"Otras activ. serv.comun.soc y personales (040)",119,3,41,30,36,9
"Hogares privados con servicio doméstico (041)",5,1,3,,,1
"Actividad economica no especificada (043)",83,,31,24,15,13
