"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJAMARCA (000)",112644,1734,42413,40119,23630,4748
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",287,,25,126,122,14
"Profes., científicos e intelectuales (002)",12965,,2812,6746,3266,141
"Técnicos de nivel medio y trab.asimilados (003)",5492,2,2000,2324,1079,87
"Jefes y empleados de oficina (004)",4439,,1908,1632,870,29
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",11756,117,4466,4055,2630,488
"Agricult.trabaj. calif. agrop. y pesqueros (006)",17718,105,4570,5635,5211,2197
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",10376,107,4344,3809,1837,279
"Obreros construc., conf., papel, fab., instr. (008)",12364,40,4958,4968,2230,168
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",26318,1169,12286,7392,4516,955
"Otra (010)",561,,154,223,183,1
"Ocupación no especificada (011)",3920,23,1477,1377,818,225
"Desocupado (012)",6448,171,3413,1832,868,164
"Hombres (013)",78969,1128,29008,27987,17094,3752
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",201,,13,84,95,9
"Profes., científicos e intelectuales (015)",6881,,1368,3489,1909,115
"Técnicos de nivel medio y trab.asimilados (016)",3650,2,1254,1587,746,61
"Jefes y empleados de oficina (017)",2050,,694,824,507,25
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",5117,69,2044,1728,1069,207
"Agricult.trabaj. calif. agrop. y pesqueros (019)",16350,79,4125,5235,4848,2063
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",9120,95,3837,3388,1568,232
"Obreros construc., conf., papel, fab., instr. (021)",12047,38,4837,4835,2180,157
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",16298,719,7598,4508,2830,643
"Otra (023)",513,,118,215,179,1
"Ocupación no especificada (024)",1896,12,683,681,420,100
"Desocupado (025)",4846,114,2437,1413,743,139
"Mujeres (026)",33675,606,13405,12132,6536,996
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",86,,12,42,27,5
"Profes., científicos e intelectuales (028)",6084,,1444,3257,1357,26
"Técnicos de nivel medio y trab.asimilados (029)",1842,,746,737,333,26
"Jefes y empleados de oficina (030)",2389,,1214,808,363,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",6639,48,2422,2327,1561,281
