"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PACHITEA (000)",16666,15406,837,187,236
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",20,,2,3,15
"Profes., científicos e intelectuales (002)",324,135,65,62,62
"Técnicos de nivel medio y trab. asimilados (003)",113,52,9,10,42
"Jefes y empleados de oficina (004)",74,10,3,5,56
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",748,722,17,2,7
"Agricult.trabaj.calif.agrop.y pesqueros (006)",8957,8676,275,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",301,281,4,10,6
"Obreros construc.,conf.,papel, fab., instr. (008)",331,288,27,12,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5481,4963,427,67,24
"Otra (010)",16,,,,16
"Ocupación no especificada (011)",301,279,8,10,4
"Hombres (012)",14501,13475,738,133,155
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",18,,2,2,14
"Profes., científicos e intelectuales (014)",165,74,32,29,30
"Técnicos de nivel medio y trab. asimilados (015)",73,38,3,6,26
"Jefes y empleados de oficina (016)",39,7,1,2,29
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",335,319,8,1,7
"Agricult.trabaj.calif.agrop.y pesqueros (018)",8589,8315,268,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",154,137,3,10,4
"Obreros construc.,conf.,papel, fab., instr. (020)",329,286,27,12,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4719,4247,389,61,22
"Otra (022)",16,,,,16
"Ocupación no especificada (023)",64,52,5,4,3
"Mujeres (024)",2165,1931,99,54,81
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,,,1,1
"Profes., científicos e intelectuales (026)",159,61,33,33,32
"Técnicos de nivel medio y trab. asimilados (027)",40,14,6,4,16
"Jefes y empleados de oficina (028)",35,3,2,3,27
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",413,403,9,1,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",368,361,7,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",147,144,1,,2
"Obreros construc.,conf.,papel, fab., instr. (032)",2,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",762,716,38,6,2
