"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CUTERVO (000)",38736,4021,50,22201,7968,517,2476,309,1194
"Agric., ganadería, caza y silvicultura (001)",28681,3335,40,19287,5608,124,193,50,44
"Pesca (002)",1,,,,1,,,,
"Explotación de minas y canteras (003)",44,5,1,29,9,,,,
"Industrias manufactureras (004)",662,38,5,316,233,13,34,5,18
"Suministro de electricidad, gas y agua (005)",39,,,15,11,2,7,,4
"Construcción (006)",591,22,,278,211,17,35,8,20
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1563,104,2,583,593,53,136,31,61
"Venta, mant.y rep. veh.autom.y motoc. (008)",92,1,,21,44,9,11,1,5
"Comercio al por mayor (009)",82,2,,27,34,3,6,2,8
"Comercio al por menor (010)",1389,101,2,535,515,41,119,28,48
"Hoteles y restaurantes (011)",390,50,,170,124,26,15,3,2
"Trans., almac. y comunicaciones (012)",698,8,,174,391,38,58,13,16
"Intermediación financiera (013)",7,,,,,,2,1,4
"Activid.inmobil., empres. y de alquiler (014)",148,,,12,29,12,35,12,48
"Admin.pub. y defensa; p. segur.soc.afil (015)",475,17,,78,126,23,129,15,87
"Enseñanza (016)",2611,,,1,149,142,1534,136,649
"Servicios sociales y de salud (017)",503,1,,8,24,35,230,11,194
"Otras activ. serv.comun.soc y personales (018)",364,59,,161,82,7,25,8,22
"Hogares privados con servicio doméstico (019)",1110,230,1,621,240,3,11,2,2
"Actividad economica no especificada (021)",849,152,1,468,137,22,32,14,23
"Hombres (022)",31299,2719,36,18903,6842,357,1487,215,740
"Agric., ganadería, caza y silvicultura (023)",25843,2632,32,17531,5278,115,171,45,39
"Pesca (024)",1,,,,1,,,,
"Explotación de minas y canteras (025)",29,1,,22,6,,,,
"Industrias manufactureras (026)",479,12,3,220,193,10,24,5,12
"Suministro de electricidad, gas y agua (027)",37,,,15,11,1,6,,4
"Construcción (028)",580,20,,276,208,16,33,8,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",892,18,1,311,385,35,79,22,41
"Venta, mant.y rep. veh.autom.y motoc. (030)",82,1,,17,41,8,11,1,3
"Comercio al por mayor (031)",60,1,,19,27,2,4,1,6
"Comercio al por menor (032)",750,16,1,275,317,25,64,20,32
"Hoteles y restaurantes (033)",86,1,,36,30,10,7,1,1
"Trans., almac. y comunicaciones (034)",672,8,,171,379,33,53,12,16
"Intermediación financiera (035)",6,,,,,,1,1,4
"Activid.inmobil., empres. y de alquiler (036)",121,,,6,25,12,28,10,40
"Admin.pub. y defensa; p. segur.soc.afil (037)",357,7,,58,110,17,90,13,62
"Enseñanza (038)",1475,,,1,66,79,857,79,393
"Servicios sociales y de salud (039)",230,,,7,17,19,108,5,74
"Otras activ. serv.comun.soc y personales (040)",144,2,,48,50,3,14,7,20
"Hogares privados con servicio doméstico (041)",32,5,,12,14,,1,,
"Actividad economica no especificada (043)",315,13,,189,69,7,15,7,15
"Mujeres (044)",7437,1302,14,3298,1126,160,989,94,454
"Agric., ganadería, caza y silvicultura (045)",2838,703,8,1756,330,9,22,5,5
