"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",4864,3243,563,345,713
"Sin nivel (061)",131,119,9,1,2
"Educación inicial (062)",7,5,2,,
"Primaria (063)",1352,1134,146,21,51
"Secundaria (064)",2073,1513,219,76,265
"Superior no univ. incompleta (065)",233,141,29,23,40
"Superior no univ. completa (066)",350,119,40,74,117
"Superior univ. incompleta (067)",206,98,33,22,53
"Superior univ. completa (068)",512,114,85,128,185
"De 06 a 14 años (070)",102,97,5,,
"Sin nivel (071)",1,1,,,
"Educación inicial (072)",2,2,,,
"Primaria (073)",71,67,4,,
"Secundaria (074)",28,27,1,,
"De 15 a 29 años (080)",1753,1179,190,88,296
"Sin nivel (081)",14,13,1,,
"Educación inicial (082)",2,2,,,
"Primaria (083)",344,279,39,8,18
"Secundaria (084)",996,707,99,42,148
"Superior no univ. incompleta (085)",112,74,13,7,18
"Superior no univ. completa (086)",121,43,12,15,51
"Superior univ. incompleta (087)",54,37,5,1,11
"Superior univ. completa (088)",110,24,21,15,50
"De 30 a 44 años (090)",1780,1107,234,173,266
"Sin nivel (091)",33,31,2,,
"Educación inicial (092)",3,1,2,,
"Primaria (093)",408,341,47,5,15
"Secundaria (094)",715,533,88,23,71
"Superior no univ. incompleta (095)",86,49,10,9,18
"Superior no univ. completa (096)",169,56,22,46,45
"Superior univ. incompleta (097)",99,36,21,13,29
"Superior univ. completa (098)",267,60,42,77,88
"De 45 a 64 años (100)",1040,706,109,80,145
"Sin nivel (101)",47,42,3,,2
"Primaria (103)",408,345,40,7,16
"Secundaria (104)",315,232,28,11,44
"Superior no univ. incompleta (105)",33,17,5,7,4
"Superior no univ. completa (106)",57,19,6,12,20
"Superior univ. incompleta (107)",51,23,7,8,13
"Superior univ. completa (108)",129,28,20,35,46
"De 65 y más años (110)",189,154,25,4,6
"Sin nivel (111)",36,32,3,1,
"Primaria (113)",121,102,16,1,2
"Secundaria (114)",19,14,3,,2
"Superior no univ. incompleta (115)",2,1,1,,
"Superior no univ. completa (116)",3,1,,1,1
"Superior univ. incompleta (117)",2,2,,,
"Superior univ. completa (118)",6,2,2,1,1
,,,,,
"RURAL (120)",11971,10443,1074,194,260
"Sin nivel (121)",1133,1062,67,2,2
"Educación inicial (122)",14,11,3,,
"Primaria (123)",6810,6182,569,51,8
"Secundaria (124)",3288,2789,340,65,94
"Superior no univ. incompleta (125)",154,96,24,16,18
"Superior no univ. completa (126)",168,88,11,15,54
"Superior univ. incompleta (127)",144,93,18,7,26
"Superior univ. completa (128)",260,122,42,38,58
"De 06 a 14 años (130)",418,361,55,2,
"Sin nivel (131)",33,31,2,,
"Educación inicial (132)",4,3,1,,
"Primaria (133)",347,299,46,2,
"Secundaria (134)",34,28,6,,
"De 15 a 29 años (140)",4853,4148,495,89,121
"Sin nivel (141)",169,159,10,,
"Educación inicial (142)",9,7,2,,
"Primaria (143)",2594,2329,233,29,3
"Secundaria (144)",1859,1529,221,47,62
"Superior no univ. incompleta (145)",72,49,8,5,10
"Superior no univ. completa (146)",53,22,6,,25
"Superior univ. incompleta (147)",41,27,3,2,9
"Superior univ. completa (148)",56,26,12,6,12
"De 30 a 44 años (150)",3561,3084,299,74,104
"Sin nivel (151)",289,270,18,1,
"Educación inicial (152)",1,1,,,
"Primaria (153)",1917,1744,155,15,3
"Secundaria (154)",1009,887,82,13,27
"Superior no univ. incompleta (155)",56,32,12,7,5
"Superior no univ. completa (156)",77,40,2,11,24
"Superior univ. incompleta (157)",66,43,12,2,9
"Superior univ. completa (158)",146,67,18,25,36
"De 45 a 64 años (160)",2531,2269,198,29,35
"Sin nivel (161)",426,394,29,1,2
"Primaria (163)",1605,1478,120,5,2
"Secundaria (164)",351,314,27,5,5
"Superior no univ. incompleta (165)",22,11,4,4,3
"Superior no univ. completa (166)",36,24,3,4,5
"Superior univ. incompleta (167)",36,22,3,3,8
"Superior univ. completa (168)",55,26,12,7,10
"De 65 y más años (170)",608,581,27,,
"Sin nivel (171)",216,208,8,,
"Primaria (173)",347,332,15,,
"Secundaria (174)",35,31,4,,
"Superior no univ. incompleta (175)",4,4,,,
"Superior no univ. completa (176)",2,2,,,
"Superior univ. incompleta (177)",1,1,,,
"Superior univ. completa (178)",3,3,,,
