"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PACHITEA (000)",16423,689,2412,9982,398,2789,153
"Sin nivel (001)",3307,14,440,2284,67,467,35
"Educación inicial (002)",46,,5,27,3,11,
"Primaria (003)",10023,81,1489,6319,257,1794,83
"Secundaria (004)",2254,120,440,1126,59,475,34
"Superior no univ. incompleta (005)",129,37,15,57,2,18,
"Superior no univ. completa (006)",177,114,7,47,4,4,1
"Superior univ. incompleta (007)",122,42,9,59,1,11,
"Superior univ. completa (008)",365,281,7,63,5,9,
"Hombres (010)",14286,391,2278,8916,383,2275,43
"Sin nivel (011)",2649,2,396,1898,63,281,9
"Educación inicial (012)",35,,5,20,3,7,
"Primaria (013)",9117,52,1413,5840,250,1539,23
"Secundaria (014)",1977,76,427,982,57,424,11
"Superior no univ. incompleta (015)",93,21,15,42,2,13,
"Superior no univ. completa (016)",105,60,7,33,2,3,
"Superior univ. incompleta (017)",93,27,9,50,1,6,
"Superior univ. completa (018)",217,153,6,51,5,2,
"Mujeres (020)",2137,298,134,1066,15,514,110
"Sin nivel (021)",658,12,44,386,4,186,26
"Educación inicial (022)",11,,,7,,4,
"Primaria (023)",906,29,76,479,7,255,60
"Secundaria (024)",277,44,13,144,2,51,23
"Superior no univ. incompleta (025)",36,16,,15,,5,
"Superior no univ. completa (026)",72,54,,14,2,1,1
"Superior univ. incompleta (027)",29,15,,9,,5,
"Superior univ. completa (028)",148,128,1,12,,7,
,,,,,,,
"URBANA (030)",2563,427,404,1468,24,190,50
"Sin nivel (031)",263,7,48,185,,19,4
"Educación inicial (032)",6,,1,5,,,
"Primaria (033)",1089,32,213,731,8,79,26
"Secundaria (034)",670,69,124,384,8,66,19
"Superior no univ. incompleta (035)",80,27,8,37,,8,
"Superior no univ. completa (036)",124,81,4,32,3,3,1
"Superior univ. incompleta (037)",89,29,4,48,,8,
"Superior univ. completa (038)",242,182,2,46,5,7,
"Hombres (040)",1896,245,385,1131,18,107,10
"Sin nivel (041)",165,1,44,112,,8,
"Educación inicial (042)",4,,1,3,,,
"Primaria (043)",875,26,200,598,4,44,3
"Secundaria (044)",527,49,122,294,8,47,7
"Superior no univ. incompleta (045)",53,17,8,25,,3,
"Superior no univ. completa (046)",68,40,4,21,1,2,
"Superior univ. incompleta (047)",67,20,4,40,,3,
"Superior univ. completa (048)",137,92,2,38,5,,
"Mujeres (050)",667,182,19,337,6,83,40
"Sin nivel (051)",98,6,4,73,,11,4
"Educación inicial (052)",2,,,2,,,
"Primaria (053)",214,6,13,133,4,35,23
"Secundaria (054)",143,20,2,90,,19,12
"Superior no univ. incompleta (055)",27,10,,12,,5,
"Superior no univ. completa (056)",56,41,,11,2,1,1
"Superior univ. incompleta (057)",22,9,,8,,5,
"Superior univ. completa (058)",105,90,,8,,7,
,,,,,,,
"RURAL (060)",13860,262,2008,8514,374,2599,103
"Sin nivel (061)",3044,7,392,2099,67,448,31
"Educación inicial (062)",40,,4,22,3,11,
"Primaria (063)",8934,49,1276,5588,249,1715,57
"Secundaria (064)",1584,51,316,742,51,409,15
"Superior no univ. incompleta (065)",49,10,7,20,2,10,
"Superior no univ. completa (066)",53,33,3,15,1,1,
"Superior univ. incompleta (067)",33,13,5,11,1,3,
"Superior univ. completa (068)",123,99,5,17,,2,
"Hombres (070)",12390,146,1893,7785,365,2168,33
"Sin nivel (071)",2484,1,352,1786,63,273,9
"Educación inicial (072)",31,,4,17,3,7,
"Primaria (073)",8242,26,1213,5242,246,1495,20
"Secundaria (074)",1450,27,305,688,49,377,4
"Superior no univ. incompleta (075)",40,4,7,17,2,10,
"Superior no univ. completa (076)",37,20,3,12,1,1,
"Superior univ. incompleta (077)",26,7,5,10,1,3,
"Superior univ. completa (078)",80,61,4,13,,2,
"Mujeres (080)",1470,116,115,729,9,431,70
"Sin nivel (081)",560,6,40,313,4,175,22
"Educación inicial (082)",9,,,5,,4,
"Primaria (083)",692,23,63,346,3,220,37
"Secundaria (084)",134,24,11,54,2,32,11
"Superior no univ. incompleta (085)",9,6,,3,,,
"Superior no univ. completa (086)",16,13,,3,,,
"Superior univ. incompleta (087)",7,6,,1,,,
"Superior univ. completa (088)",43,38,1,4,,,
