"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PAITA (000)",26780,25479,1301
"Casa independiente (001)",26494,25206,1288
"Departamento en edificio (002)",45,45,
"Vivienda en quinta (003)",24,24,
"Vivienda en casa de vecindad (004)",58,58,
"Choza o cabaña (005)",11,,11
"Vivienda improvisada (006)",118,118,
"Local no dest.para hab. humana (007)",22,20,2
"Otro tipo (008)",8,8,
