"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SANTA CRUZ (000)",16197,50929,46110,,665,90.5,1.3
"De 12 a 14 años (001)",1753,12,11,,,91.7,
"De 15 a 19 años (002)",1864,265,261,81,98.5,30.6,
"De 20 a 24 años (003)",1496,1301,1271,149,97.7,11.5,
"De 25 a 29 años (004)",1361,2275,2224,144,97.8,6.3,
"De 30 a 34 años (005)",1416,3459,3372,145,97.5,4.2,
"De 35 a 39 años (006)",1490,4671,4493,90,96.2,1.9,
"De 40 a 44 años (007)",1220,4665,4441,48,95.2,1,
"De 45 a 49 años (008)",1090,5045,4779,8,94.7,0.2,
"De 50 y más años (009)",4507,29236,25258,,86.4,,
"Sin nivel (010)",3365,19941,17108,56,85.8,0.3,
"De 12 a 14 años (011)",18,1,1,,100,,
"De 15 a 19 años (012)",53,12,12,2,100,16.7,
"De 20 a 24 años (013)",71,77,75,7,97.4,9.1,
"De 25 a 29 años (014)",88,155,151,10,97.4,6.5,
"De 30 a 34 años (015)",137,362,350,14,96.7,3.9,
"De 35 a 39 años (016)",186,681,639,11,93.8,1.6,
"De 40 a 44 años (017)",210,840,780,12,92.9,1.4,
"De 45 a 49 años (018)",217,1061,992,,93.5,,
"De 50 y más años (019)",2385,16752,14108,,84.2,,
"Educacion Inicial (020)",30,35,35,3,100,8.6,
"De 12 a 14 años (021)",8,1,1,,100,,
"De 15 a 19 años (022)",2,1,1,1,100,100,
"De 20 a 24 años (023)",4,4,4,,100,,
"De 25 a 29 años (024)",4,7,7,1,100,14.3,
"De 30 a 34 años (025)",8,14,14,1,100,7.1,
"De 35 a 39 años (026)",4,8,8,,100,,
"Primaria (030)",7089,24094,22328,361,92.7,1.5,
"De 12 a 14 años (031)",801,5,5,,100,,
"De 15 a 19 años (032)",465,134,134,42,100,31.3,
"De 20 a 24 años (033)",602,668,648,88,97,13.2,
"De 25 a 29 años (034)",643,1238,1214,71,98.1,5.7,
"De 30 a 34 años (035)",655,1861,1812,75,97.4,4,
"De 35 a 39 años (036)",743,2600,2503,53,96.3,2,
"De 40 a 44 años (037)",681,2868,2739,25,95.5,0.9,
"De 45 a 49 años (038)",657,3279,3106,7,94.7,0.2,
"De 50 y más años (039)",1842,11441,10167,,88.9,,
