"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJATAMBO (000)",4177,2329,1848
"Casa independiente (001)",3784,2221,1563
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",22,22,
"Vivienda en casa de vecindad (004)",65,65,
"Choza o cabaña (005)",282,,282
"Vivienda improvisada (006)",12,12,
"Local no dest.para hab. humana (007)",10,7,3
