"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PATAZ (000)",73667,18855,54812
"Casa independiente (001)",71505,18211,53294
"Departamento en edificio (002)",19,19,
"Vivienda en quinta (003)",185,185,
"Vivienda en casa de vecindad (004)",378,378,
"Choza o cabaña (005)",1447,,1447
"Vivienda improvisada (006)",45,45,
"Local no dest.para hab. humana (007)",64,17,47
"Otro tipo (008)",24,,24
