"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MAYNAS (000)",492992,12985,158810,145661,89786,64663,21087
"Hombres (001)",248695,6592,80879,72549,44390,33838,10447
"Mujeres (002)",244297,6393,77931,73112,45396,30825,10640
"Viviendas particulares (003)",486072,12895,158136,142003,88255,63869,20914
"Hombres (004)",243384,6543,80549,69564,43155,33235,10338
"Mujeres (005)",242688,6352,77587,72439,45100,30634,10576
"Viviendas colectivas (006)",5906,79,472,3214,1319,668,154
"Hombres (007)",4578,45,225,2636,1071,505,96
"Mujeres (008)",1328,34,247,578,248,163,58
"Otro tipo (009)",1014,11,202,444,212,126,19
"Hombres (010)",733,4,105,349,164,98,13
"Mujeres (011)",281,7,97,95,48,28,6
,,,,,,,
"URBANA (012)",392682,9693,118960,120324,73859,52949,16897
"Hombres (013)",194311,4982,60389,58545,35457,26965,7973
"Mujeres (014)",198371,4711,58571,61779,38402,25984,8924
"Viviendas particulares (015)",386891,9607,118380,117523,72456,52199,16726
"Hombres (016)",189996,4933,60114,56349,34333,26401,7866
"Mujeres (017)",196895,4674,58266,61174,38123,25798,8860
"Viviendas colectivas (018)",5084,79,429,2522,1250,652,152
"Hombres (019)",3817,45,196,1983,1009,490,94
"Mujeres (020)",1267,34,233,539,241,162,58
"Otro tipo (021)",707,7,151,279,153,98,19
"Hombres (022)",498,4,79,213,115,74,13
"Mujeres (023)",209,3,72,66,38,24,6
,,,,,,,
"RURAL (024)",100310,3292,39850,25337,15927,11714,4190
"Hombres (025)",54384,1610,20490,14004,8933,6873,2474
"Mujeres (026)",45926,1682,19360,11333,6994,4841,1716
"Viviendas particulares (027)",99181,3288,39756,24480,15799,11670,4188
"Hombres (028)",53388,1610,20435,13215,8822,6834,2472
"Mujeres (029)",45793,1678,19321,11265,6977,4836,1716
"Viviendas colectivas (030)",822,,43,692,69,16,2
"Hombres (031)",761,,29,653,62,15,2
"Mujeres (032)",61,,14,39,7,1,
"Otro tipo (033)",307,4,51,165,59,28,
"Hombres (034)",235,,26,136,49,24,
"Mujeres (035)",72,4,25,29,10,4,
