"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCABAMBA (000)",34092,4338,29754
"Casa independiente (001)",33177,4234,28943
"Vivienda en quinta (003)",32,32,
"Vivienda en casa de vecindad (004)",55,55,
"Choza o cabaña (005)",803,,803
"Vivienda improvisada (006)",14,14,
"Local no dest.para hab. humana (007)",9,2,7
"Otro tipo (008)",2,1,1
