"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VILCAS HUAMAN (000)",5937,4920,591,154,272
"Agric., ganadería, caza y silvicultura (001)",3762,3591,152,17,2
"Explotación de minas y canteras (003)",34,1,17,16,
"Industrias manufactureras (004)",112,94,13,4,1
"Suministro de electricidad, gas y agua (005)",10,,1,9,
"Construcción (006)",342,201,111,19,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",329,313,15,1,
"Venta, mant.y rep. veh.autom y motoc. (008)",10,10,,,
"Comercio al por mayor (009)",11,11,,,
"Comercio al por menor (010)",308,292,15,1,
"Hoteles y restaurantes (011)",76,71,5,,
"Trans., almac. y comunicaciones (012)",82,67,11,4,
"Intermediación financiera (013)",1,,,,1
"Activid.inmobil., empres. y alquileres (014)",32,15,14,2,1
"Admin.pub. y defensa; p. segur soc.afil (015)",198,,,,198
"Enseñanza (016)",462,187,195,72,8
"Servicios sociales y de salud (017)",66,15,3,1,47
"Otras activ. serv.comun.soc y personales (018)",20,15,5,,
"Hogares privados con servicio doméstico (019)",32,32,,,
"Actividad economica no especificada (021)",379,318,49,9,3
"Hombres (022)",4514,3723,461,126,204
"Agric., ganadería, caza y silvicultura (023)",3107,2967,125,13,2
"Explotación de minas y canteras (025)",33,1,17,15,
"Industrias manufactureras (026)",99,83,11,4,1
"Suministro de electricidad, gas y agua (027)",10,,1,9,
"Construcción (028)",322,192,104,19,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",123,114,8,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",9,9,,,
"Comercio al por mayor (031)",9,9,,,
"Comercio al por menor (032)",105,96,8,1,
"Hoteles y restaurantes (033)",11,10,1,,
"Trans., almac. y comunicaciones (034)",73,59,11,3,
"Activid.inmobil., empres. y alquileres (036)",25,10,12,2,1
"Admin.pub. y defensa; p. segur soc.afil (037)",164,,,,164
"Enseñanza (038)",297,114,127,51,5
"Servicios sociales y de salud (039)",36,11,3,1,21
"Otras activ. serv.comun.soc y personales (040)",14,10,4,,
"Hogares privados con servicio doméstico (041)",5,5,,,
"Actividad economica no especificada (043)",195,147,37,8,3
"Mujeres (044)",1423,1197,130,28,68
"Agric., ganadería, caza y silvicultura (045)",655,624,27,4,
"Explotación de minas y canteras (047)",1,,,1,
